"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM"
"1","Pollock","Average Catch",151021.927294774
"2","Pollock","Catch IAV",21280.2098453008
"3","Pollock","% Years closed",0.511904761904762
"4","Pollock","Avg terminal SSB MSE",0.00842306791373085
"5","Pollock","EM: P(Fy > Flimit)",0.00214285714285714
"6","Pollock","EM: P(SSB < SSBlimit)",0.00607142857142857
"7","Pollock","OM: P(Fy > Flimit)",0.143511904761905
"8","Pollock","OM: P(SSB < SSBlimit)",0.0397619047619048
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00172619047619048
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.143095238095238
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000357142857142857
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.034047619047619
"13","Pollock","OM: Terminal SSB/SSBtarget",0.372507668174647
"14","Arrowtooth flounder","Average Catch",85243.8636706886
"15","Arrowtooth flounder","Catch IAV",517.086207856789
"16","Arrowtooth flounder","% Years closed",0
"17","Arrowtooth flounder","Avg terminal SSB MSE",0.0025515549811486
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.422663578639482
"27","Cod","Average Catch",31681.9778694534
"28","Cod","Catch IAV",13038.0408672631
"29","Cod","% Years closed",3.05952380952381
"30","Cod","Avg terminal SSB MSE",0.00615661797104892
"31","Cod","EM: P(Fy > Flimit)",0.0196428571428571
"32","Cod","EM: P(SSB < SSBlimit)",0.0475
"33","Cod","OM: P(Fy > Flimit)",0.0311309523809524
"34","Cod","OM: P(SSB < SSBlimit)",0.0725
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0189285714285714
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0304166666666667
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000119047619047619
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0251190476190476
"39","Cod","OM: Terminal SSB/SSBtarget",0.373779875838958
