"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM"
"1","Pollock","Average Catch",2350292.26496436
"2","Pollock","Catch IAV",304603.720367266
"3","Pollock","% Years closed",0.0465116279069767
"4","Pollock","Avg terminal SSB MSE",0.0133497528039406
"5","Pollock","EM: P(Fy > Flimit)",0.00825581395348837
"6","Pollock","EM: P(SSB < SSBlimit)",0.00151162790697674
"7","Pollock","OM: P(Fy > Flimit)",0.301463414634146
"8","Pollock","OM: P(SSB < SSBlimit)",0.0287209302325581
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00597560975609756
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.299207317073171
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0272093023255814
"13","Pollock","OM: Terminal SSB/SSBtarget",0.343113395776901
"14","Cod","Average Catch",146961.88197783
"15","Cod","Catch IAV",3557.57043198743
"16","Cod","% Years closed",0
"17","Cod","Avg terminal SSB MSE",0.000596738218324134
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.317073170731707
"21","Cod","OM: P(SSB < SSBlimit)",0.000232558139534884
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.317073170731707
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000232558139534884
"26","Cod","OM: Terminal SSB/SSBtarget",0.392872074687308
"27","Arrowtooth flounder","Average Catch",33474.4132293543
"28","Arrowtooth flounder","Catch IAV",302.992325993887
"29","Arrowtooth flounder","% Years closed",0
"30","Arrowtooth flounder","Avg terminal SSB MSE",0.0002089884348903
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.419775861988717
