"","Species","Performance metric","MS-OM_Est M-No cap"
"1","Pollock","Average Catch",4179882.3396173
"2","Pollock","Catch IAV",4878904.89901856
"3","Pollock","% Years closed",5.61627906976744
"4","Pollock","Avg terminal SSB MSE",514464396135.775
"5","Pollock","EM: P(Fy > Flimit)",0.0704651162790698
"6","Pollock","EM: P(SSB < SSBlimit)",0.0732801514332071
"7","Pollock","OM: P(Fy > Flimit)",0.0121951219512195
"8","Pollock","OM: P(SSB < SSBlimit)",0.0381395348837209
"9","Pollock","OM: Terminal SSB/SSBtarget",0.88668666663261
"10","Cod","Average Catch",159070.283012074
"11","Cod","Catch IAV",3330.92862827481
"12","Cod","% Years closed",0
"13","Cod","Avg terminal SSB MSE",33154940.9318587
"14","Cod","EM: P(Fy > Flimit)",0
"15","Cod","EM: P(SSB < SSBlimit)",0
"16","Cod","OM: P(Fy > Flimit)",0
"17","Cod","OM: P(SSB < SSBlimit)",0
"18","Cod","OM: Terminal SSB/SSBtarget",0.703756339845561
"19","Arrowtooth flounder","Average Catch",40424.8923247509
"20","Arrowtooth flounder","Catch IAV",4836.36095791408
"21","Arrowtooth flounder","% Years closed",0
"22","Arrowtooth flounder","Avg terminal SSB MSE",24915336.8075848
"23","Arrowtooth flounder","EM: P(Fy > Flimit)",0.0232558139534884
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0121951219512195
"26","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"27","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.507122015324817
