"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRup"
"1","Pollock","Average Catch",151478.075290971
"2","Pollock","Catch IAV",21067.8098662607
"3","Pollock","P(Closed)",0.00438946528332003
"4","Pollock","Avg terminal SSB Relative MSE",0.00769012326616439
"5","Pollock","EM: P(Fy > Flimit)",0.00212822559191274
"6","Pollock","EM: P(SSB < SSBlimit)",0.0054535780792764
"7","Pollock","OM: P(Fy > Flimit)",0.143522213354616
"8","Pollock","OM: P(SSB < SSBlimit)",0.0383080606544294
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00152966214418728
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.14292364990689
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.032854482575153
"13","Pollock","OM: Terminal SSB/SSBtarget",0.374501092374058
"14","Arrowtooth flounder","Average Catch",110827.248506845
"15","Arrowtooth flounder","Catch IAV",452.309902627813
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00272623745786335
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.550722213968734
"27","Cod","Average Catch",31703.2275523055
"28","Cod","Catch IAV",13102.6286715525
"29","Cod","P(Closed)",0.0309922851822293
"30","Cod","Avg terminal SSB Relative MSE",0.00530533211118201
"31","Cod","EM: P(Fy > Flimit)",0.0196860867251929
"32","Cod","EM: P(SSB < SSBlimit)",0.0461558925246076
"33","Cod","OM: P(Fy > Flimit)",0.0293296089385475
"34","Cod","OM: P(SSB < SSBlimit)",0.0728917265230114
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.018754988028731
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0283985102420857
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000133014099494546
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0268688480978984
"39","Cod","OM: Terminal SSB/SSBtarget",0.374458679823062
