"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_AllUp"
"1","Pollock","Average Catch",191814.534862908
"2","Pollock","Catch IAV",20092.0211458835
"3","Pollock","P(Closed)",0.00103174603174603
"4","Pollock","Avg terminal SSB Relative MSE",0.00996886394085156
"5","Pollock","EM: P(Fy > Flimit)",0.0180952380952381
"6","Pollock","EM: P(SSB < SSBlimit)",0.00214285714285714
"7","Pollock","OM: P(Fy > Flimit)",0.150555555555556
"8","Pollock","OM: P(SSB < SSBlimit)",0.0329365079365079
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00182539682539683
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.134285714285714
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0311111111111111
"13","Pollock","OM: Terminal SSB/SSBtarget",0.554961778312546
"14","Arrowtooth flounder","Average Catch",144625.440266822
"15","Arrowtooth flounder","Catch IAV",1239.12763377879
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0145796386061023
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.570232600502921
"27","Cod","Average Catch",20059.6057793942
"28","Cod","Catch IAV",2466.84446788498
"29","Cod","P(Closed)",0.100555555555556
"30","Cod","Avg terminal SSB Relative MSE",0.00473104267295252
"31","Cod","EM: P(Fy > Flimit)",7.93650793650794e-05
"32","Cod","EM: P(SSB < SSBlimit)",0.102222222222222
"33","Cod","OM: P(Fy > Flimit)",7.93650793650794e-05
"34","Cod","OM: P(SSB < SSBlimit)",0.100079365079365
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",7.93650793650794e-05
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.93650793650794e-05
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00238095238095238
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000238095238095238
"39","Cod","OM: Terminal SSB/SSBtarget",0.575070445958751
