"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",104733.140615988
"2","Pollock","Catch IAV",14372.0369596047
"3","Pollock","P(Closed)",0.0207936507936508
"4","Pollock","Avg terminal SSB Relative MSE",0.00923741204594221
"5","Pollock","EM: P(Fy > Flimit)",0.0192857142857143
"6","Pollock","EM: P(SSB < SSBlimit)",0.0223809523809524
"7","Pollock","OM: P(Fy > Flimit)",0.0709920634920635
"8","Pollock","OM: P(SSB < SSBlimit)",0.0217460317460317
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0132539682539683
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0649603174603175
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0150793650793651
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0144444444444444
"13","Pollock","OM: Terminal SSB/SSBtarget",0.330723140797975
"14","Arrowtooth flounder","Average Catch",88521.3348398563
"15","Arrowtooth flounder","Catch IAV",1881.70425384925
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0122721877256896
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.363016123675876
"27","Cod","Average Catch",10100.5990650106
"28","Cod","Catch IAV",2344.22865687998
"29","Cod","P(Closed)",0.112857142857143
"30","Cod","Avg terminal SSB Relative MSE",0.0115233210648128
"31","Cod","EM: P(Fy > Flimit)",0.00246031746031746
"32","Cod","EM: P(SSB < SSBlimit)",0.117619047619048
"33","Cod","OM: P(Fy > Flimit)",0.166865079365079
"34","Cod","OM: P(SSB < SSBlimit)",0.101507936507937
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00182539682539683
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.166230158730159
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0166666666666667
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000555555555555556
"39","Cod","OM: Terminal SSB/SSBtarget",0.333227723359232
