"","Species","Performance metric","SS_OM__SS_estM_dynamicTier3_EM"
"1","Pollock","Average Catch",2366412.9872861
"2","Pollock","Catch IAV",167413.186464213
"3","Pollock","% Years closed",0
"4","Pollock","Avg terminal SSB MSE",0.0125104552234704
"5","Pollock","EM: P(Fy > Flimit)",0.000348837209302326
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.376829268292683
"8","Pollock","OM: P(SSB < SSBlimit)",0.0517441860465116
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00024390243902439
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.376707317073171
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0517441860465116
"13","Pollock","OM: Terminal SSB/SSBtarget",0.337916031260876
"14","Cod","Average Catch",148197.331694184
"15","Cod","Catch IAV",2523.96826162053
"16","Cod","% Years closed",0
"17","Cod","Avg terminal SSB MSE",0.000578525616105923
"18","Cod","EM: P(Fy > Flimit)",0
"19","Cod","EM: P(SSB < SSBlimit)",0
"20","Cod","OM: P(Fy > Flimit)",0.317073170731707
"21","Cod","OM: P(SSB < SSBlimit)",0.000930232558139535
"22","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.317073170731707
"24","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000930232558139535
"26","Cod","OM: Terminal SSB/SSBtarget",0.387508301092275
"27","Arrowtooth flounder","Average Catch",33627.7412765274
"28","Arrowtooth flounder","Catch IAV",265.265257420763
"29","Arrowtooth flounder","% Years closed",0
"30","Arrowtooth flounder","Avg terminal SSB MSE",0.000227814239998045
"31","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"32","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"33","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"35","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.416559591798554
