"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ATFRup"
"1","Pollock","Average Catch",153216.063360271
"2","Pollock","Catch IAV",19208.1248375266
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00760084355179813
"5","Pollock","EM: P(Fy > Flimit)",0.0023015873015873
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.154047619047619
"8","Pollock","OM: P(SSB < SSBlimit)",0.000158730158730159
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00138888888888889
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.153134920634921
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000158730158730159
"13","Pollock","OM: Terminal SSB/SSBtarget",0.368086648886212
"14","Arrowtooth flounder","Average Catch",111315.811276235
"15","Arrowtooth flounder","Catch IAV",447.016345222955
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00283496204462155
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.552137393002772
"27","Cod","Average Catch",31689.9673906382
"28","Cod","Catch IAV",11238.2326763458
"29","Cod","P(Closed)",0.000634920634920635
"30","Cod","Avg terminal SSB Relative MSE",0.00274681736520011
"31","Cod","EM: P(Fy > Flimit)",0.0124603174603175
"32","Cod","EM: P(SSB < SSBlimit)",0.00134920634920635
"33","Cod","OM: P(Fy > Flimit)",0.0293253968253968
"34","Cod","OM: P(SSB < SSBlimit)",0.00166666666666667
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.010952380952381
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0278174603174603
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000634920634920635
"39","Cod","OM: Terminal SSB/SSBtarget",0.374165806713539
