"","Species","Performance metric","SS-Est M-OM_Est M-No cap"
"1","Pollock","Average Catch",2463839.40541868
"2","Pollock","Catch IAV",72177.3052149889
"3","Pollock","% Years closed",0
"4","Pollock","Avg terminal SSB MSE",3713151707926.47
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","OM: Terminal SSB/SSBtarget",0.609759124364588
"10","Cod","Average Catch",144649.705074845
"11","Cod","Catch IAV",3244.00320515838
"12","Cod","% Years closed",0
"13","Cod","Avg terminal SSB MSE",31166377.2909948
"14","Cod","EM: P(Fy > Flimit)",0
"15","Cod","EM: P(SSB < SSBlimit)",0
"16","Cod","OM: P(Fy > Flimit)",0.317073170731707
"17","Cod","OM: P(SSB < SSBlimit)",0.000232558139534884
"18","Cod","OM: Terminal SSB/SSBtarget",0.397076894705261
"19","Arrowtooth flounder","Average Catch",37734.0766485248
"20","Arrowtooth flounder","Catch IAV",368.140935605008
"21","Arrowtooth flounder","% Years closed",0
"22","Arrowtooth flounder","Avg terminal SSB MSE",109830627.740336
"23","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"25","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"26","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"27","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.543950187587984
