"","Species","Performance metric","SS_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",162849.621649378
"2","Pollock","Catch IAV",24990.9740717265
"3","Pollock","P(Closed)",0.0076984126984127
"4","Pollock","Avg terminal SSB Relative MSE",0.0205688711353264
"5","Pollock","EM: P(Fy > Flimit)",0.0231746031746032
"6","Pollock","EM: P(SSB < SSBlimit)",0.00912698412698413
"7","Pollock","OM: P(Fy > Flimit)",0.576984126984127
"8","Pollock","OM: P(SSB < SSBlimit)",0.0865079365079365
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000238095238095238
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.554047619047619
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0776984126984127
"13","Pollock","OM: Terminal SSB/SSBtarget",0.337770382807189
"14","Arrowtooth flounder","Average Catch",85030.5981151623
"15","Arrowtooth flounder","Catch IAV",1771.58718553961
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00329493199010115
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0770634920634921
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0770634920634921
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.425605749769572
"27","Cod","Average Catch",26002.513653544
"28","Cod","Catch IAV",6884.40785302005
"29","Cod","P(Closed)",0.0161111111111111
"30","Cod","Avg terminal SSB Relative MSE",0.0234942501622388
"31","Cod","EM: P(Fy > Flimit)",0.00396825396825397
"32","Cod","EM: P(SSB < SSBlimit)",0.0384126984126984
"33","Cod","OM: P(Fy > Flimit)",0.000158730158730159
"34","Cod","OM: P(SSB < SSBlimit)",0.0454761904761905
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00388888888888889
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.93650793650794e-05
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00198412698412698
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00904761904761905
"39","Cod","OM: Terminal SSB/SSBtarget",0.464660802161953
