"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",134624.98854219
"2","Pollock","Catch IAV",15890.1625777675
"3","Pollock","P(Closed)",0.00341269841269841
"4","Pollock","Avg terminal SSB Relative MSE",0.00926487687954256
"5","Pollock","EM: P(Fy > Flimit)",0.0207936507936508
"6","Pollock","EM: P(SSB < SSBlimit)",0.00468253968253968
"7","Pollock","OM: P(Fy > Flimit)",0.143174603174603
"8","Pollock","OM: P(SSB < SSBlimit)",0.0246031746031746
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00214285714285714
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.12452380952381
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000793650793650794
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0207142857142857
"13","Pollock","OM: Terminal SSB/SSBtarget",0.404029029545101
"14","Arrowtooth flounder","Average Catch",108593.529244917
"15","Arrowtooth flounder","Catch IAV",1505.65803229502
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0139591945227918
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.426898363401896
"27","Cod","Average Catch",13741.9767234049
"28","Cod","Catch IAV",2237.04833936493
"29","Cod","P(Closed)",0.101587301587302
"30","Cod","Avg terminal SSB Relative MSE",0.00547896487932198
"31","Cod","EM: P(Fy > Flimit)",0.000238095238095238
"32","Cod","EM: P(SSB < SSBlimit)",0.103809523809524
"33","Cod","OM: P(Fy > Flimit)",0.000634920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.101111111111111
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000158730158730159
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000555555555555556
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00317460317460317
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.000476190476190476
"39","Cod","OM: Terminal SSB/SSBtarget",0.407238086418211
