"","Species","Performance metric","SSM_OM__SS_estM_dynamicTier3_EM"
"1","Pollock","Average Catch",137549.439011237
"2","Pollock","Catch IAV",14587.603789334
"3","Pollock","% Years closed",0
"4","Pollock","Avg terminal SSB MSE",0.00755120227714587
"5","Pollock","EM: P(Fy > Flimit)",0.015952380952381
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.0849404761904762
"8","Pollock","OM: P(SSB < SSBlimit)",0.0454761904761905
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0110714285714286
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0800595238095238
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0454761904761905
"13","Pollock","OM: Terminal SSB/SSBtarget",0.391126096399253
"14","Arrowtooth flounder","Average Catch",108679.125390291
"15","Arrowtooth flounder","Catch IAV",1444.68888881351
"16","Arrowtooth flounder","% Years closed",0
"17","Arrowtooth flounder","Avg terminal SSB MSE",0.0142892322004117
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.423529141691305
"27","Cod","Average Catch",14673.9441068147
"28","Cod","Catch IAV",1744.44652445097
"29","Cod","% Years closed",0.321428571428571
"30","Cod","Avg terminal SSB MSE",0.00278970996985159
"31","Cod","EM: P(Fy > Flimit)",0.000238095238095238
"32","Cod","EM: P(SSB < SSBlimit)",0.0489285714285714
"33","Cod","OM: P(Fy > Flimit)",0.16672619047619
"34","Cod","OM: P(SSB < SSBlimit)",0.0895238095238095
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000238095238095238
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.16672619047619
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0405952380952381
"39","Cod","OM: Terminal SSB/SSBtarget",0.392129611098509
