"","Species","Performance metric","SSM_OM__SS_fixM_dynamicTier3_EM_AllUp"
"1","Pollock","Average Catch",205097.771329974
"2","Pollock","Catch IAV",24835.5255534977
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0195967680552539
"5","Pollock","EM: P(Fy > Flimit)",0.0046031746031746
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.152063492063492
"8","Pollock","OM: P(SSB < SSBlimit)",0.0268253968253968
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00222222222222222
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.14968253968254
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0268253968253968
"13","Pollock","OM: Terminal SSB/SSBtarget",0.508795775854787
"14","Arrowtooth flounder","Average Catch",129879.074270691
"15","Arrowtooth flounder","Catch IAV",504.477898813573
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.134933135295776
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.639694454959726
"27","Cod","Average Catch",29370.1076888298
"28","Cod","Catch IAV",10681.3302739326
"29","Cod","P(Closed)",0.0248412698412698
"30","Cod","Avg terminal SSB Relative MSE",0.122262173875873
"31","Cod","EM: P(Fy > Flimit)",0.114126984126984
"32","Cod","EM: P(SSB < SSBlimit)",0.0496825396825397
"33","Cod","OM: P(Fy > Flimit)",0.654246031746032
"34","Cod","OM: P(SSB < SSBlimit)",0.244920634920635
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0513492063492063
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.591468253968254
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.195238095238095
"39","Cod","OM: Terminal SSB/SSBtarget",0.279290622879601
