"","Average.M","M.var","Min.M","Max.M","OM","EM","Rec","Spp"
"1",0.28757597335745,0.000819149694534233,0.232859496054184,0.412635481362927,"SSM_OM","SS_estM_Tier3_EM","ConstantR","Pollock"
"2",0.256856209881732,7.60479423775924e-05,0.248272195578166,0.278820007517188,"SSM_OM","SS_estM_Tier3_EM","ConstantR","ATF F"
"3",0.330255764600562,9.18398214807833e-05,0.325203791580951,0.355001689955861,"SSM_OM","SS_estM_Tier3_EM","ConstantR","ATF M"
"4",0.313693899569567,0.000281493292289193,0.289754156299193,0.455515908749564,"SSM_OM","SS_estM_Tier3_EM","ConstantR","Cod"
"5",0.277602289416876,0.000260441737314246,0.227846370518802,0.342111245421086,"SSM_OM","SS_estM_Tier3_EM","AllUp","Pollock"
"6",0.258360779250807,6.46933320100836e-05,0.25152068339013,0.277251385525719,"SSM_OM","SS_estM_Tier3_EM","AllUp","ATF F"
"7",0.331460698271379,8.27827971190628e-05,0.326599976738051,0.352752673127369,"SSM_OM","SS_estM_Tier3_EM","AllUp","ATF M"
"8",0.311976389680462,0.00011375827061154,0.286628632914822,0.365247970224361,"SSM_OM","SS_estM_Tier3_EM","AllUp","Cod"
"9",0.277345643984037,0.00023842390645709,0.235569419685874,0.33142309161483,"SSM_OM","SS_estM_Tier3_EM","AllDown","Pollock"
"10",0.256179247458861,7.90418237815926e-05,0.248706389259167,0.278226926449754,"SSM_OM","SS_estM_Tier3_EM","AllDown","ATF F"
"11",0.329672977992318,9.20786884315736e-05,0.322153988585669,0.353030711169019,"SSM_OM","SS_estM_Tier3_EM","AllDown","ATF M"
"12",0.313850793609135,0.000291050655070307,0.256182257019113,0.482131051618939,"SSM_OM","SS_estM_Tier3_EM","AllDown","Cod"
"13",0.288140576763241,0.000937039390137611,0.232226239129431,0.425309208274319,"SSM_OM","SS_estM_Tier3_EM","ATFRup","Pollock"
"14",0.25851061094513,6.55788544810109e-05,0.252257729210117,0.277982596977955,"SSM_OM","SS_estM_Tier3_EM","ATFRup","ATF F"
"15",0.331725015839927,8.41499535409237e-05,0.326064534099686,0.354323607213186,"SSM_OM","SS_estM_Tier3_EM","ATFRup","ATF M"
"16",0.313873556096742,0.00025705281000962,0.284937392792885,0.453497410582518,"SSM_OM","SS_estM_Tier3_EM","ATFRup","Cod"
"17",0.286956303285016,0.000848303530252882,0.226600646722009,0.394866903149183,"SSM_OM","SS_estM_Tier3_EM","ATFRdown","Pollock"
"18",0.256067766601716,8.09645591889156e-05,0.247096809396834,0.277645374499294,"SSM_OM","SS_estM_Tier3_EM","ATFRdown","ATF F"
"19",0.329607591735551,9.47844815809876e-05,0.318615728840426,0.352931994969709,"SSM_OM","SS_estM_Tier3_EM","ATFRdown","ATF M"
