"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)"," 12,896"," 15,663"," 13,124"," 12,821"," 12,806"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)"," 11,382"," 16,147","  9,630"," 11,493"," 11,280"
"3",NA,NA,"HCR 2a (PFMC)","  6,770","  9,507"," 5,855","  6,744","  6,717"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  6,513","  9,499"," 5,390","  6,539","  6,527"
"5",NA,NA,"HCR 3a (SESSF)","  6,891","  9,007","  7,325","  6,977","  6,912"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","  6,219","  9,101","  5,229","  6,316","  6,167"
"7",NA,NA,"HCR 4 (NEFMC)","  9,425"," 13,604","  7,790","  9,436","  9,416"
"8",NA,NA,"HCR 5 (Avg F)","  1,596","  6,491","  3,665","  4,429","  4,442"
"9",NA,"Est M","HCR 1a (NPFMC)","  6,868","  9,170","  6,474","  6,818","  6,731"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  6,561"," 10,142","  5,262","  6,605","  6,592"
"11",NA,NA,"HCR 2a (PFMC)","  3,308","  5,041","  2,874","  3,337","  3,323"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","  3,202","  4,876","  2,551","  3,188","  3,197"
"13",NA,NA,"HCR 3a (SESSF)","  4,841","  6,658","  5,055","  4,756","  4,730"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","  3,752","  5,782","  3,042","  3,769","  3,769"
"15",NA,NA,"HCR 4 (NEFMC)","  5,324","  8,247","  4,252","  5,304","  5,310"
"16",NA,NA,"HCR 5 (Avg F)","  1,334","  7,020","  3,823","  4,708","  4,610"
"17","SS est M","Fix M","HCR 1a (NPFMC)"," 13,063"," 12,033"," 13,799"," 12,708"," 12,907"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","  9,322"," 10,662","  9,009","  9,322","  9,276"
"19",NA,NA,"HCR 2a (PFMC)","  4,831","  5,838"," 4,748","  4,786","  4,936"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","  4,484","  5,644"," 4,074","  4,380","  4,419"
"21",NA,NA,"HCR 3a (SESSF)","  5,958","  5,899"," 7,798","  6,151","  6,252"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","  4,100","  5,321","  3,934","  4,156","  4,187"
"23",NA,NA,"HCR 4 (NEFMC)","  6,983","  8,488","  6,465","  6,933","  6,991"
"24",NA,NA,"HCR 5 (Avg F)","  1,594","  4,061"," 2,704","  2,967","  3,008"
"25",NA,"Est M","HCR 1a (NPFMC)","  2,270","  2,486","  2,359","  2,266","  2,306"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","  1,706","  2,508","  1,447","  1,711","  1,712"
"27",NA,NA,"HCR 2a (PFMC)","    963","  1,362","    901","    980","    978"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","    894","  1,314","    753","    910","    900"
"29",NA,NA,"HCR 3a (SESSF)","  1,569","  1,805","  2,251","  1,614","  7,433"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","  1,177","  1,605","  1,038","  1,172","  1,169"
"31",NA,NA,"HCR 4 (NEFMC)","  1,477","  2,204","  1,235","  1,479","  1,479"
"32",NA,NA,"HCR 5 (Avg F)","  1,288","  4,827"," 2,900","  3,321","  3,375"
"33","MS","Fix M","HCR 1a (NPFMC)"," 11,107"," 12,198"," 10,614"," 11,683"," 11,027"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","  9,277"," 10,781","  8,583","  9,276","  9,553"
"35",NA,NA,"HCR 2a (PFMC)","  5,282","  6,617","  4,913","  5,232","  5,401"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","  5,121","  6,552","  4,493","  4,884","  5,258"
"37",NA,NA,"HCR 3a (SESSF)","  5,591","  6,157","  6,196","  5,971","  5,444"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","  4,741","  5,825","  4,159","  4,525","  4,811"
"39",NA,NA,"HCR 4 (NEFMC)","  7,634","  9,433","  6,893","  7,414","  7,743"
"40",NA,NA,"HCR 5 (Avg F)","  1,335","  4,141","  2,878"," 3,085","  3,425"
"41",NA,"Est M","HCR 1a (NPFMC)","  4,382","  5,271","  4,265","  4,423","  4,433"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","  4,013","  5,396","  3,388","  3,795","  4,244"
"43",NA,NA,"HCR 2a (PFMC)","  2,206","  2,852","  1,950","  2,074","  2,266"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","  2,048","  2,744","  1,765","  1,930","  2,131"
"45",NA,NA,"HCR 3a (SESSF)","  3,008","  3,702","  3,208","  3,128","  3,045"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","  2,372","  3,127","  1,987","  2,186","  2,448"
"47",NA,NA,"HCR 4 (NEFMC)","  3,297","  4,360","  2,804","  3,035","  3,437"
"48",NA,NA,"HCR 5 (Avg F)","  1,483","  4,736","  3,251","  3,485","  3,911"
