"","Cap","EM","1. Naive","2. w Ricker","3. SSP-126","4. w Ricker","5. SSP-245","6. w Ricker","7. SSP-585","8. w Ricker"
"1","FALSE","NPFMC Fix-M","0.14","0.15","0.17","0.17","0.21","0.21","0.25","0.24"
"2",NA,"NPFMC Fix-M (Dynamic B0)","0.14","0.15","0.17","0.17","0.2","0.2","0.23","0.23"
"3",NA,"NPFMC Est-M","0.22","0.27","0.28","0.3","0.34","0.37","0.39","0.42"
"4",NA,"NPFMC Est-M (Dynamic B0)","0.21","0.27","0.27","0.29","0.32","0.36","0.36","0.4"
"5",NA,"MS-B40 iter",NA,"0.44",NA,"0.54",NA,"0.62",NA,"0.57"
"6",NA,"MS-B40 simul","0.26","0.43","0.33","0.5","0.39","0.6","0.44","0.57"
"7",NA,"MS-MSY","0.81",NA,"0.94",NA,"1.15",NA,"1.42",NA
"8",NA,"MS-cMSY","0.4","1.72","0.5","1.73","0.59","1.83","0.68","1.77"
"9","TRUE","NPFMC Fix-M","0.08","0.08","0.08","0.08","0.09","0.08","0.11","0.1"
"10",NA,"NPFMC Fix-M (Dynamic B0)","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"11",NA,"NPFMC Est-M","0.08","0.08","0.08","0.08","0.09","0.08","0.11","0.1"
"12",NA,"NPFMC Est-M (Dynamic B0)","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.1"
"13",NA,"MS-B40 iter","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.11"
"14",NA,"MS-B40 simul","0.08","0.08","0.08","0.08","0.08","0.08","0.1","0.11"
"15",NA,"MS-MSY","0.08",NA,"0.08",NA,"0.08",NA,"0.08",NA
"16",NA,"MS-cMSY","0.08","0.09","0.08","0.09","0.08","0.1","0.1","0.16"
