"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)"," 85,510","111,297"," 70,793","111,297"," 70,789"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)"," 85,815","111,331"," 72,687","111,370"," 72,695"
"3",NA,NA,"HCR 2a (PFMC)"," 94,495","122,598","80,310","122,562"," 80,293"
"4",NA,NA,"HCR 2b (Dynamic PFMC)"," 94,537","122,577","80,363","122,579"," 80,348"
"5",NA,NA,"HCR 3a (SESSF)"," 74,509"," 95,923"," 63,164"," 95,929"," 63,156"
"6",NA,NA,"HCR 3b (Dynamic SESSF)"," 74,500"," 95,939"," 63,745"," 95,951"," 63,739"
"7",NA,NA,"HCR 4 (NEFMC)"," 86,044","112,260"," 74,000","112,287"," 73,998"
"8",NA,NA,"HCR 5 (Avg F)"," 78,294"," 27,073"," 18,599"," 27,078"," 18,610"
"9",NA,"Est M","HCR 1a (NPFMC)"," 84,908","110,012"," 70,628","110,063"," 70,639"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)"," 85,229","110,165"," 72,410","110,170"," 72,415"
"11",NA,NA,"HCR 2a (PFMC)"," 94,581","122,540"," 80,542","122,598"," 80,559"
"12",NA,NA,"HCR 2b (Dynamic PFMC)"," 94,622","122,551"," 80,568","122,542"," 80,634"
"13",NA,NA,"HCR 3a (SESSF)"," 74,394"," 95,307"," 63,212"," 95,357"," 63,235"
"14",NA,NA,"HCR 3b (Dynamic SESSF)"," 74,453"," 95,300"," 63,710"," 95,268"," 63,727"
"15",NA,NA,"HCR 4 (NEFMC)"," 86,832","113,548"," 75,199","113,640"," 75,183"
"16",NA,NA,"HCR 5 (Avg F)"," 66,601"," 27,184"," 18,743"," 27,167"," 18,735"
"17","SS est M","Fix M","HCR 1a (NPFMC)"," 98,592","129,996"," 81,014","130,003"," 80,990"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)"," 98,382","129,924"," 82,190","129,894"," 82,193"
"19",NA,NA,"HCR 2a (PFMC)","110,885","146,175","93,057","146,191"," 93,060"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","110,884","146,195","93,082","146,203"," 93,095"
"21",NA,NA,"HCR 3a (SESSF)"," 83,881","109,903","70,423","109,915"," 70,428"
"22",NA,NA,"HCR 3b (Dynamic SESSF)"," 83,890","109,923"," 70,777","109,911"," 70,777"
"23",NA,NA,"HCR 4 (NEFMC)"," 99,842","131,292"," 84,021","131,272"," 84,008"
"24",NA,NA,"HCR 5 (Avg F)"," 94,567"," 26,254","17,565"," 26,268"," 17,563"
"25",NA,"Est M","HCR 1a (NPFMC)","108,692","144,560"," 88,547","144,633"," 88,530"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","108,990","144,728"," 90,950","144,666"," 90,927"
"27",NA,NA,"HCR 2a (PFMC)","124,610","166,389","103,549","166,257","103,519"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","124,547","166,369","103,701","166,315","103,642"
"29",NA,NA,"HCR 3a (SESSF)"," 94,181","123,831"," 78,417","123,840"," 78,426"
"30",NA,NA,"HCR 3b (Dynamic SESSF)"," 94,153","123,817"," 79,300","123,814"," 79,382"
"31",NA,NA,"HCR 4 (NEFMC)","113,334","150,824"," 94,611","150,925"," 94,587"
"32",NA,NA,"HCR 5 (Avg F)"," 72,742"," 28,437","19,013"," 28,558"," 18,999"
"33","MS","Fix M","HCR 1a (NPFMC)","101,402","130,510"," 84,502","130,400"," 84,422"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","101,058","130,473"," 85,140","130,232"," 85,078"
"35",NA,NA,"HCR 2a (PFMC)","114,400","147,603"," 96,776","147,730"," 96,593"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","114,380","147,574"," 96,761","147,722"," 96,623"
"37",NA,NA,"HCR 3a (SESSF)"," 85,339","109,032"," 72,540","108,859"," 72,472"
"38",NA,NA,"HCR 3b (Dynamic SESSF)"," 85,327","109,058"," 72,641","108,859"," 72,613"
"39",NA,NA,"HCR 4 (NEFMC)","102,671","131,909"," 87,075","131,786"," 86,997"
"40",NA,NA,"HCR 5 (Avg F)"," 74,251"," 25,927"," 18,055","25,824"," 18,066"
"41",NA,"Est M","HCR 1a (NPFMC)","109,682","142,037"," 90,779","141,785"," 90,756"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","109,568","142,004"," 92,322","141,704"," 92,281"
"43",NA,NA,"HCR 2a (PFMC)","126,362","164,861","106,121","165,014","105,948"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","126,373","164,935","106,199","165,034","106,042"
"45",NA,NA,"HCR 3a (SESSF)"," 93,594","119,856"," 79,230","119,667"," 79,173"
"46",NA,NA,"HCR 3b (Dynamic SESSF)"," 93,569","119,861"," 79,633","119,639"," 79,630"
"47",NA,NA,"HCR 4 (NEFMC)","113,351","147,051"," 95,579","146,776"," 95,479"
"48",NA,NA,"HCR 5 (Avg F)"," 27,098"," 27,694"," 19,311"," 27,520"," 19,322"
