"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)"," 21,542"," 28,281"," 19,255"," 21,489"," 21,529"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)"," 19,433"," 27,912"," 15,194"," 19,069"," 19,279"
"3",NA,NA,"HCR 2a (PFMC)","  9,385"," 13,536"," 7,699","  9,376","  9,209"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  9,056"," 13,297"," 7,235","  9,026","  9,000"
"5",NA,NA,"HCR 3a (SESSF)"," 15,280"," 19,462"," 14,612"," 15,444"," 15,078"
"6",NA,NA,"HCR 3b (Dynamic SESSF)"," 12,160"," 17,960","  9,655"," 11,930"," 12,182"
"7",NA,NA,"HCR 4 (NEFMC)"," 17,099"," 24,715"," 13,853"," 16,957"," 17,003"
"8",NA,NA,"HCR 5 (Avg F)"," 11,244"," 15,646","  8,190"," 10,406"," 10,326"
"9",NA,"Est M","HCR 1a (NPFMC)"," 24,622"," 32,135"," 22,081"," 24,750"," 24,591"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)"," 22,320"," 31,771"," 17,866"," 22,012"," 21,747"
"11",NA,NA,"HCR 2a (PFMC)"," 14,881"," 21,995"," 12,104"," 14,707"," 14,699"
"12",NA,NA,"HCR 2b (Dynamic PFMC)"," 13,705"," 21,620"," 10,683"," 13,907"," 13,841"
"13",NA,NA,"HCR 3a (SESSF)"," 19,868"," 24,982"," 19,052"," 20,165"," 20,133"
"14",NA,NA,"HCR 3b (Dynamic SESSF)"," 15,062"," 23,066"," 11,868"," 14,799"," 14,833"
"15",NA,NA,"HCR 4 (NEFMC)"," 20,784"," 31,340"," 17,446"," 20,822"," 21,251"
"16",NA,NA,"HCR 5 (Avg F)"," 10,092"," 16,933","  8,526"," 10,838"," 10,725"
"17","SS est M","Fix M","HCR 1a (NPFMC)"," 18,635"," 24,507"," 16,622"," 18,749"," 18,693"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)"," 16,734"," 24,326"," 13,605"," 16,582"," 16,681"
"19",NA,NA,"HCR 2a (PFMC)","  8,349"," 12,061"," 6,968","  8,386","  8,256"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","  8,026"," 11,930"," 6,370","  8,041","  8,074"
"21",NA,NA,"HCR 3a (SESSF)"," 13,360"," 17,168","12,626"," 13,416"," 13,228"
"22",NA,NA,"HCR 3b (Dynamic SESSF)"," 10,479"," 15,894","  8,403"," 10,628"," 10,428"
"23",NA,NA,"HCR 4 (NEFMC)"," 15,359"," 22,168"," 12,597"," 14,950"," 15,212"
"24",NA,NA,"HCR 5 (Avg F)"," 12,634"," 13,688"," 6,946","  8,884","  9,031"
"25",NA,"Est M","HCR 1a (NPFMC)"," 17,843"," 20,559"," 14,704"," 17,893"," 17,588"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)"," 14,002"," 20,494"," 11,820"," 14,061"," 14,021"
"27",NA,NA,"HCR 2a (PFMC)"," 12,144"," 13,605","  8,382","  9,626","  9,511"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","  8,514"," 12,847","  7,054","  8,694","  8,700"
"29",NA,NA,"HCR 3a (SESSF)"," 12,213"," 17,775"," 14,526"," 15,522"," 14,928"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","  9,164"," 15,725","  8,771"," 10,938"," 10,823"
"31",NA,NA,"HCR 4 (NEFMC)"," 14,553"," 21,119"," 12,799"," 14,564"," 14,622"
"32",NA,NA,"HCR 5 (Avg F)"," 13,055"," 12,197"," 6,663","  8,277","  8,327"
"33","MS","Fix M","HCR 1a (NPFMC)"," 24,305"," 29,674"," 20,315"," 21,135"," 26,337"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)"," 24,561"," 30,839"," 20,418"," 20,282"," 27,527"
"35",NA,NA,"HCR 2a (PFMC)"," 12,209"," 15,145"," 10,333"," 10,520"," 13,375"
"36",NA,NA,"HCR 2b (Dynamic PFMC)"," 12,501"," 15,239"," 10,484"," 10,322"," 13,584"
"37",NA,NA,"HCR 3a (SESSF)"," 15,123"," 19,419"," 13,502"," 14,844"," 16,522"
"38",NA,NA,"HCR 3b (Dynamic SESSF)"," 14,489"," 18,399"," 12,338"," 12,396"," 16,737"
"39",NA,NA,"HCR 4 (NEFMC)"," 22,625"," 28,003"," 19,142"," 19,380"," 25,487"
"40",NA,NA,"HCR 5 (Avg F)","  9,492","  9,239","  6,462"," 6,552","  8,269"
"41",NA,"Est M","HCR 1a (NPFMC)"," 66,315"," 80,877"," 56,548"," 61,035"," 72,137"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)"," 67,319"," 85,364"," 56,695"," 57,740"," 74,747"
"43",NA,NA,"HCR 2a (PFMC)"," 44,066"," 54,673"," 37,357"," 37,477"," 49,088"
"44",NA,NA,"HCR 2b (Dynamic PFMC)"," 44,028"," 54,298"," 36,899"," 36,257"," 49,879"
"45",NA,NA,"HCR 3a (SESSF)"," 45,699"," 56,124"," 40,519"," 44,565"," 48,124"
"46",NA,NA,"HCR 3b (Dynamic SESSF)"," 41,695"," 53,426"," 35,347"," 36,659"," 46,401"
"47",NA,NA,"HCR 4 (NEFMC)"," 63,831"," 78,077"," 53,996"," 54,191"," 70,642"
"48",NA,NA,"HCR 5 (Avg F)","  8,225"," 11,984","  8,124","  8,148"," 10,539"
