"","depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"1","Surface","no","ssp126","Mean zoo aug to oct",1980,15.7829015108639
"2","Surface","no","ssp126","Mean zoo aug to oct",1981,14.4026998141438
"3","Surface","no","ssp126","Mean zoo aug to oct",1982,13.6269202201854
"4","Surface","no","ssp126","Mean zoo aug to oct",1983,15.3094380408159
"5","Surface","no","ssp126","Mean zoo aug to oct",1984,16.5603317542659
"6","Surface","no","ssp126","Mean zoo aug to oct",1985,15.3710114353849
"7","Surface","no","ssp126","Mean zoo aug to oct",1986,13.4343010942407
"8","Surface","no","ssp126","Mean zoo aug to oct",1987,16.3924690260479
"9","Surface","no","ssp126","Mean zoo aug to oct",1988,13.810816789385
"10","Surface","no","ssp126","Mean zoo aug to oct",1989,13.8893830780378
"11","Surface","no","ssp126","Mean zoo aug to oct",1990,15.2335339783259
"12","Surface","no","ssp126","Mean zoo aug to oct",1991,14.5484343936896
"13","Surface","no","ssp126","Mean zoo aug to oct",1992,15.2298396501936
"14","Surface","no","ssp126","Mean zoo aug to oct",1993,16.3389592370154
"15","Surface","no","ssp126","Mean zoo aug to oct",1994,14.1477027528949
"16","Surface","no","ssp126","Mean zoo aug to oct",1995,16.0667192635123
"17","Surface","no","ssp126","Mean zoo aug to oct",1996,14.3442138096284
"18","Surface","no","ssp126","Mean zoo aug to oct",1997,13.38010861065
"19","Surface","no","ssp126","Mean zoo aug to oct",1998,15.4895340612347
"20","Surface","no","ssp126","Mean zoo aug to oct",1999,15.5530832687846
"21","Surface","no","ssp126","Mean zoo aug to oct",2000,15.241571558707
"22","Surface","no","ssp126","Mean zoo aug to oct",2001,13.5017291805575
"23","Surface","no","ssp126","Mean zoo aug to oct",2002,16.3317224456131
"24","Surface","no","ssp126","Mean zoo aug to oct",2003,13.9878287061785
"25","Surface","no","ssp126","Mean zoo aug to oct",2004,15.3578542842562
"26","Surface","no","ssp126","Mean zoo aug to oct",2005,13.9488017761258
"27","Surface","no","ssp126","Mean zoo aug to oct",2006,13.4719108607605
"28","Surface","no","ssp126","Mean zoo aug to oct",2007,14.0843899591215
"29","Surface","no","ssp126","Mean zoo aug to oct",2008,17.8364302947784
"30","Surface","no","ssp126","Mean zoo aug to oct",2009,14.3630261715275
"31","Surface","no","ssp126","Mean zoo aug to oct",2010,15.5141265462666
"32","Surface","no","ssp126","Mean zoo aug to oct",2011,15.2981955494571
"33","Surface","no","ssp126","Mean zoo aug to oct",2012,14.1793138262065
"34","Surface","no","ssp126","Mean zoo aug to oct",2013,15.7483183081587
"35","Surface","no","ssp126","Mean zoo aug to oct",2014,16.1771497644668
"36","Surface","no","ssp126","Mean zoo aug to oct",2015,17.4996239365075
"37","Surface","no","ssp126","Mean zoo aug to oct",2016,16.3259049839709
"38","Surface","no","ssp126","Mean zoo aug to oct",2017,13.8195647104166
"39","Surface","no","ssp126","Mean zoo aug to oct",2018,14.7385445038236
"40","Surface","no","ssp126","Mean zoo aug to oct",2019,16.081180548201
"41","Surface","no","ssp126","Mean zoo aug to oct",2020,13.0760212765538
"42","Surface","no","ssp126","Mean zoo aug to oct",2021,14.8739592409677
"43","Surface","no","ssp126","Mean zoo aug to oct",2022,14.6889658078693
"44","Surface","no","ssp126","Mean zoo aug to oct",2023,17.1660108751161
"45","Surface","no","ssp126","Mean zoo aug to oct",2024,16.0781682700306
"46","Surface","no","ssp126","Mean zoo aug to oct",2025,16.4793974525106
"47","Surface","no","ssp126","Mean zoo aug to oct",2026,14.9934066269926
"48","Surface","no","ssp126","Mean zoo aug to oct",2027,15.913915263022
"49","Surface","no","ssp126","Mean zoo aug to oct",2028,16.048208522232
"50","Surface","no","ssp126","Mean zoo aug to oct",2029,14.1209959791258
"51","Surface","no","ssp126","Mean zoo aug to oct",2030,14.155772923563
"52","Surface","no","ssp126","Mean zoo aug to oct",2031,12.691642468307
"53","Surface","no","ssp126","Mean zoo aug to oct",2032,15.9417010412576
"54","Surface","no","ssp126","Mean zoo aug to oct",2033,13.6584298996745
"55","Surface","no","ssp126","Mean zoo aug to oct",2034,14.2079710554862
"56","Surface","no","ssp126","Mean zoo aug to oct",2035,16.2321378104052
"57","Surface","no","ssp126","Mean zoo aug to oct",2036,14.3648842007729
"58","Surface","no","ssp126","Mean zoo aug to oct",2037,15.5572493142875
"59","Surface","no","ssp126","Mean zoo aug to oct",2038,14.1817895432483
"60","Surface","no","ssp126","Mean zoo aug to oct",2039,14.0974564169059
"61","Surface","no","ssp126","Mean zoo aug to oct",2040,16.4943384201773
"62","Surface","no","ssp126","Mean zoo aug to oct",2041,14.245718622101
"63","Surface","no","ssp126","Mean zoo aug to oct",2042,15.1901602505421
"64","Surface","no","ssp126","Mean zoo aug to oct",2043,17.2232168309724
"65","Surface","no","ssp126","Mean zoo aug to oct",2044,16.4714473286598
"66","Surface","no","ssp126","Mean zoo aug to oct",2045,15.4656393278708
"67","Surface","no","ssp126","Mean zoo aug to oct",2046,14.7597441194557
"68","Surface","no","ssp126","Mean zoo aug to oct",2047,14.6071352957586
"69","Surface","no","ssp126","Mean zoo aug to oct",2048,15.3235582833466
"70","Surface","no","ssp126","Mean zoo aug to oct",2049,13.5193964136577
"71","Surface","no","ssp126","Mean zoo aug to oct",2050,15.2739957866914
"72","Surface","no","ssp126","Mean zoo aug to oct",2051,13.5944565804862
"73","Surface","no","ssp126","Mean zoo aug to oct",2052,15.5681454617332
"74","Surface","no","ssp126","Mean zoo aug to oct",2053,15.1869858741097
"75","Surface","no","ssp126","Mean zoo aug to oct",2054,15.5432801457641
"76","Surface","no","ssp126","Mean zoo aug to oct",2055,14.6462076553747
"77","Surface","no","ssp126","Mean zoo aug to oct",2056,14.4948331873314
"78","Surface","no","ssp126","Mean zoo aug to oct",2057,15.5173337393506
"79","Surface","no","ssp126","Mean zoo aug to oct",2058,13.2740478934839
"80","Surface","no","ssp126","Mean zoo aug to oct",2059,13.9320963551429
"81","Surface","no","ssp126","Mean zoo aug to oct",2060,16.9084678317314
"82","Surface","no","ssp126","Mean zoo aug to oct",2061,14.425157689832
"83","Surface","no","ssp126","Mean zoo aug to oct",2062,13.99804936663
"84","Surface","no","ssp126","Mean zoo aug to oct",2063,14.4190883215596
"85","Surface","no","ssp126","Mean zoo aug to oct",2064,14.5720918414454
"86","Surface","no","ssp126","Mean zoo aug to oct",2065,14.9943058822483
"87","Surface","no","ssp126","Mean zoo aug to oct",2066,15.05748028891
"88","Surface","no","ssp126","Mean zoo aug to oct",2067,15.7002646543689
"89","Surface","no","ssp126","Mean zoo aug to oct",2068,14.0155603543511
"90","Surface","no","ssp126","Mean zoo aug to oct",2069,15.0616138841924
"91","Surface","no","ssp126","Mean zoo aug to oct",2070,14.3817944810497
"92","Surface","no","ssp126","Mean zoo aug to oct",2071,14.9360263184239
"93","Surface","no","ssp126","Mean zoo aug to oct",2072,14.4460736025048
"94","Surface","no","ssp126","Mean zoo aug to oct",2073,13.4517501388882
"95","Surface","no","ssp126","Mean zoo aug to oct",2074,14.3512312756246
"96","Surface","no","ssp126","Mean zoo aug to oct",2075,14.6137708609189
"97","Surface","no","ssp126","Mean zoo aug to oct",2076,15.93266520372
"98","Surface","no","ssp126","Mean zoo aug to oct",2077,16.4933811515584
"99","Surface","no","ssp126","Mean zoo aug to oct",2078,13.1846630373613
