"","depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"1","Bottom","no","ssp126","Mean temp nov to jan",1980,5.74652403913999
"2","Bottom","no","ssp126","Mean temp nov to jan",1981,6.58510169372689
"3","Bottom","no","ssp126","Mean temp nov to jan",1982,6.28068437725994
"4","Bottom","no","ssp126","Mean temp nov to jan",1983,6.78017588910515
"5","Bottom","no","ssp126","Mean temp nov to jan",1984,6.11997637719883
"6","Bottom","no","ssp126","Mean temp nov to jan",1985,6.25723379855277
"7","Bottom","no","ssp126","Mean temp nov to jan",1986,6.60580657939965
"8","Bottom","no","ssp126","Mean temp nov to jan",1987,6.2579236217038
"9","Bottom","no","ssp126","Mean temp nov to jan",1988,6.16939040532749
"10","Bottom","no","ssp126","Mean temp nov to jan",1989,5.64576037118742
"11","Bottom","no","ssp126","Mean temp nov to jan",1990,6.0181746703133
"12","Bottom","no","ssp126","Mean temp nov to jan",1991,6.29312031864237
"13","Bottom","no","ssp126","Mean temp nov to jan",1992,5.82335760905451
"14","Bottom","no","ssp126","Mean temp nov to jan",1993,5.60405337885781
"15","Bottom","no","ssp126","Mean temp nov to jan",1994,5.83402950192489
"16","Bottom","no","ssp126","Mean temp nov to jan",1995,5.59364302415869
"17","Bottom","no","ssp126","Mean temp nov to jan",1996,6.24690036059655
"18","Bottom","no","ssp126","Mean temp nov to jan",1997,6.37295908596353
"19","Bottom","no","ssp126","Mean temp nov to jan",1998,5.90262504505524
"20","Bottom","no","ssp126","Mean temp nov to jan",1999,7.34995065716141
"21","Bottom","no","ssp126","Mean temp nov to jan",2000,6.95738570163096
"22","Bottom","no","ssp126","Mean temp nov to jan",2001,6.83651662016369
"23","Bottom","no","ssp126","Mean temp nov to jan",2002,6.70063093991687
"24","Bottom","no","ssp126","Mean temp nov to jan",2003,6.61346738649361
"25","Bottom","no","ssp126","Mean temp nov to jan",2004,6.94158241921124
"26","Bottom","no","ssp126","Mean temp nov to jan",2005,7.04172200221988
"27","Bottom","no","ssp126","Mean temp nov to jan",2006,6.37026574535551
"28","Bottom","no","ssp126","Mean temp nov to jan",2007,5.97863152365744
"29","Bottom","no","ssp126","Mean temp nov to jan",2008,5.87666858734015
"30","Bottom","no","ssp126","Mean temp nov to jan",2009,6.64578693014785
"31","Bottom","no","ssp126","Mean temp nov to jan",2010,6.43802941055521
"32","Bottom","no","ssp126","Mean temp nov to jan",2011,7.10740567381617
"33","Bottom","no","ssp126","Mean temp nov to jan",2012,7.25955858544402
"34","Bottom","no","ssp126","Mean temp nov to jan",2013,6.74300987934228
"35","Bottom","no","ssp126","Mean temp nov to jan",2014,6.36777167994429
"36","Bottom","no","ssp126","Mean temp nov to jan",2015,5.81831126263561
"37","Bottom","no","ssp126","Mean temp nov to jan",2016,7.23245949179961
"38","Bottom","no","ssp126","Mean temp nov to jan",2017,7.85836559534707
"39","Bottom","no","ssp126","Mean temp nov to jan",2018,5.93244698878923
"40","Bottom","no","ssp126","Mean temp nov to jan",2019,6.67687631685702
"41","Bottom","no","ssp126","Mean temp nov to jan",2020,7.33975493801379
"42","Bottom","no","ssp126","Mean temp nov to jan",2021,7.34515302128444
"43","Bottom","no","ssp126","Mean temp nov to jan",2022,6.12722743689415
"44","Bottom","no","ssp126","Mean temp nov to jan",2023,5.86846288647059
"45","Bottom","no","ssp126","Mean temp nov to jan",2024,6.96814158589123
"46","Bottom","no","ssp126","Mean temp nov to jan",2025,7.67998595800424
"47","Bottom","no","ssp126","Mean temp nov to jan",2026,7.66780681998104
"48","Bottom","no","ssp126","Mean temp nov to jan",2027,7.21270499208056
"49","Bottom","no","ssp126","Mean temp nov to jan",2028,7.32991899402597
"50","Bottom","no","ssp126","Mean temp nov to jan",2029,7.65828635811294
"51","Bottom","no","ssp126","Mean temp nov to jan",2030,6.98440224484951
"52","Bottom","no","ssp126","Mean temp nov to jan",2031,7.656399554543
"53","Bottom","no","ssp126","Mean temp nov to jan",2032,7.32030681498769
"54","Bottom","no","ssp126","Mean temp nov to jan",2033,6.83192887771506
"55","Bottom","no","ssp126","Mean temp nov to jan",2034,7.3596226423718
"56","Bottom","no","ssp126","Mean temp nov to jan",2035,6.98052714773584
"57","Bottom","no","ssp126","Mean temp nov to jan",2036,6.78990797441324
"58","Bottom","no","ssp126","Mean temp nov to jan",2037,7.4456597064583
"59","Bottom","no","ssp126","Mean temp nov to jan",2038,7.10927784204628
"60","Bottom","no","ssp126","Mean temp nov to jan",2039,7.87700524816725
"61","Bottom","no","ssp126","Mean temp nov to jan",2040,7.10493127122807
"62","Bottom","no","ssp126","Mean temp nov to jan",2041,8.20840809451466
"63","Bottom","no","ssp126","Mean temp nov to jan",2042,7.89267264098673
"64","Bottom","no","ssp126","Mean temp nov to jan",2043,7.38379533506607
"65","Bottom","no","ssp126","Mean temp nov to jan",2044,6.93275003828177
"66","Bottom","no","ssp126","Mean temp nov to jan",2045,7.60413477976924
"67","Bottom","no","ssp126","Mean temp nov to jan",2046,7.55064871721701
"68","Bottom","no","ssp126","Mean temp nov to jan",2047,7.57015058852215
"69","Bottom","no","ssp126","Mean temp nov to jan",2048,7.26388430326997
"70","Bottom","no","ssp126","Mean temp nov to jan",2049,8.0575199352495
"71","Bottom","no","ssp126","Mean temp nov to jan",2050,6.84241989529468
"72","Bottom","no","ssp126","Mean temp nov to jan",2051,7.48323119410365
"73","Bottom","no","ssp126","Mean temp nov to jan",2052,7.49722086880712
"74","Bottom","no","ssp126","Mean temp nov to jan",2053,7.44583957552013
"75","Bottom","no","ssp126","Mean temp nov to jan",2054,8.1036549365923
"76","Bottom","no","ssp126","Mean temp nov to jan",2055,7.90826819589128
"77","Bottom","no","ssp126","Mean temp nov to jan",2056,7.74850712399111
"78","Bottom","no","ssp126","Mean temp nov to jan",2057,7.3225315826778
"79","Bottom","no","ssp126","Mean temp nov to jan",2058,8.10984909107731
"80","Bottom","no","ssp126","Mean temp nov to jan",2059,7.94843762972787
"81","Bottom","no","ssp126","Mean temp nov to jan",2060,7.70103425927575
"82","Bottom","no","ssp126","Mean temp nov to jan",2061,8.30334905426148
"83","Bottom","no","ssp126","Mean temp nov to jan",2062,7.39213190510513
"84","Bottom","no","ssp126","Mean temp nov to jan",2063,7.66310031928837
"85","Bottom","no","ssp126","Mean temp nov to jan",2064,7.87909790766194
"86","Bottom","no","ssp126","Mean temp nov to jan",2065,7.43886085975461
"87","Bottom","no","ssp126","Mean temp nov to jan",2066,7.8690676359586
"88","Bottom","no","ssp126","Mean temp nov to jan",2067,7.93204232147361
"89","Bottom","no","ssp126","Mean temp nov to jan",2068,7.82566950421041
"90","Bottom","no","ssp126","Mean temp nov to jan",2069,7.1607436013058
"91","Bottom","no","ssp126","Mean temp nov to jan",2070,6.78358987892391
"92","Bottom","no","ssp126","Mean temp nov to jan",2071,7.45232755261675
"93","Bottom","no","ssp126","Mean temp nov to jan",2072,8.14823836199163
"94","Bottom","no","ssp126","Mean temp nov to jan",2073,8.11980123081407
"95","Bottom","no","ssp126","Mean temp nov to jan",2074,8.43371191152421
"96","Bottom","no","ssp126","Mean temp nov to jan",2075,7.41317488325887
"97","Bottom","no","ssp126","Mean temp nov to jan",2076,6.59221649010411
"98","Bottom","no","ssp126","Mean temp nov to jan",2077,7.68424543636901
"99","Bottom","no","ssp126","Mean temp nov to jan",2078,7.95363720062476
"100","Bottom","no","ssp126","Mean temp nov to jan",2079,7.93415095706781
"101","Bottom","no","ssp126","Mean temp nov to jan",2080,7.57444453620565
"102","Bottom","no","ssp126","Mean temp nov to jan",2081,7.98805580269704
"103","Bottom","no","ssp126","Mean temp nov to jan",2082,8.64711779425593
"104","Bottom","no","ssp126","Mean temp nov to jan",2083,7.71287761715431
"105","Bottom","no","ssp126","Mean temp nov to jan",2084,6.61271420982796
"106","Bottom","no","ssp126","Mean temp nov to jan",2085,6.08232548990175
"107","Bottom","no","ssp126","Mean temp nov to jan",2086,7.45186263265224
"108","Bottom","no","ssp126","Mean temp nov to jan",2087,7.33605852439351
"109","Bottom","no","ssp126","Mean temp nov to jan",2088,8.22324300100631
"110","Bottom","no","ssp126","Mean temp nov to jan",2089,7.56174546273182
"111","Bottom","no","ssp126","Mean temp nov to jan",2090,8.32085618478493
"112","Bottom","no","ssp126","Mean temp nov to jan",2091,6.66764893095377
"113","Bottom","no","ssp126","Mean temp nov to jan",2092,7.49552233383371
"114","Bottom","no","ssp126","Mean temp nov to jan",2093,8.07471396628135
"115","Bottom","no","ssp126","Mean temp nov to jan",2094,7.44615782757971
"116","Bottom","no","ssp126","Mean temp nov to jan",2095,7.06929848752926
"117","Bottom","no","ssp126","Mean temp nov to jan",2096,7.5339078477724
"118","Bottom","no","ssp126","Mean temp nov to jan",2097,8.50608035933911
"119","Bottom","no","ssp126","Mean temp nov to jan",2098,7.81650787056533
"120","Bottom","no","ssp126","Mean temp nov to jan",2099,8.05714751703661
"121","Bottom","yes","ssp126","Mean temp nov to jan",1980,5.74652403913999
"122","Bottom","yes","ssp126","Mean temp nov to jan",1981,6.58510169372689
"123","Bottom","yes","ssp126","Mean temp nov to jan",1982,6.28068437725994
"124","Bottom","yes","ssp126","Mean temp nov to jan",1983,6.78017588910515
"125","Bottom","yes","ssp126","Mean temp nov to jan",1984,6.11997637719883
"126","Bottom","yes","ssp126","Mean temp nov to jan",1985,6.25723379855277
"127","Bottom","yes","ssp126","Mean temp nov to jan",1986,6.60580657939965
"128","Bottom","yes","ssp126","Mean temp nov to jan",1987,6.2579236217038
"129","Bottom","yes","ssp126","Mean temp nov to jan",1988,6.16939040532749
"130","Bottom","yes","ssp126","Mean temp nov to jan",1989,5.64576037118742
"131","Bottom","yes","ssp126","Mean temp nov to jan",1990,5.14165368974806
"132","Bottom","yes","ssp126","Mean temp nov to jan",1991,6.40004180825649
"133","Bottom","yes","ssp126","Mean temp nov to jan",1992,5.91347270551135
"134","Bottom","yes","ssp126","Mean temp nov to jan",1993,5.80531731490535
"135","Bottom","yes","ssp126","Mean temp nov to jan",1994,5.24794448345487
"136","Bottom","yes","ssp126","Mean temp nov to jan",1995,6.41812023311577
"137","Bottom","yes","ssp126","Mean temp nov to jan",1996,6.18618198043866
"138","Bottom","yes","ssp126","Mean temp nov to jan",1997,6.98311888237758
"139","Bottom","yes","ssp126","Mean temp nov to jan",1998,6.9996152930409
"140","Bottom","yes","ssp126","Mean temp nov to jan",1999,6.14211759169714
"141","Bottom","yes","ssp126","Mean temp nov to jan",2000,6.72603494449074
"142","Bottom","yes","ssp126","Mean temp nov to jan",2001,6.19539525760419
"143","Bottom","yes","ssp126","Mean temp nov to jan",2002,7.39993595993474
"144","Bottom","yes","ssp126","Mean temp nov to jan",2003,7.04552410965159
"145","Bottom","yes","ssp126","Mean temp nov to jan",2004,6.44357893621832
"146","Bottom","yes","ssp126","Mean temp nov to jan",2005,6.59354831161449
"147","Bottom","yes","ssp126","Mean temp nov to jan",2006,6.15563038138395
"148","Bottom","yes","ssp126","Mean temp nov to jan",2007,6.34236222470042
"149","Bottom","yes","ssp126","Mean temp nov to jan",2008,6.35647006131336
"150","Bottom","yes","ssp126","Mean temp nov to jan",2009,6.67556866911197
"151","Bottom","yes","ssp126","Mean temp nov to jan",2010,6.60844347900724
"152","Bottom","yes","ssp126","Mean temp nov to jan",2011,6.41664342315659
"153","Bottom","yes","ssp126","Mean temp nov to jan",2012,6.08029021015478
"154","Bottom","yes","ssp126","Mean temp nov to jan",2013,6.83692575499349
"155","Bottom","yes","ssp126","Mean temp nov to jan",2014,8.0020813619033
"156","Bottom","yes","ssp126","Mean temp nov to jan",2015,7.26154535093054
"157","Bottom","yes","ssp126","Mean temp nov to jan",2016,7.78891209417072
"158","Bottom","yes","ssp126","Mean temp nov to jan",2017,7.43744648050467
"159","Bottom","yes","ssp126","Mean temp nov to jan",2018,7.73661237966325
"160","Bottom","yes","ssp126","Mean temp nov to jan",2019,7.7382545337861
"161","Bottom","yes","ssp126","Mean temp nov to jan",2020,7.1651708320143
"162","Bottom","yes","ssp126","Mean temp nov to jan",2021,7.34515302128444
"163","Bottom","yes","ssp126","Mean temp nov to jan",2022,6.12722743689415
"164","Bottom","yes","ssp126","Mean temp nov to jan",2023,5.86846288647059
"165","Bottom","yes","ssp126","Mean temp nov to jan",2024,6.96814158589123
"166","Bottom","yes","ssp126","Mean temp nov to jan",2025,7.67998595800424
"167","Bottom","yes","ssp126","Mean temp nov to jan",2026,7.66780681998104
"168","Bottom","yes","ssp126","Mean temp nov to jan",2027,7.21270499208056
"169","Bottom","yes","ssp126","Mean temp nov to jan",2028,7.32991899402597
"170","Bottom","yes","ssp126","Mean temp nov to jan",2029,7.65828635811294
"171","Bottom","yes","ssp126","Mean temp nov to jan",2030,6.98440224484951
"172","Bottom","yes","ssp126","Mean temp nov to jan",2031,7.656399554543
"173","Bottom","yes","ssp126","Mean temp nov to jan",2032,7.32030681498769
"174","Bottom","yes","ssp126","Mean temp nov to jan",2033,6.83192887771506
"175","Bottom","yes","ssp126","Mean temp nov to jan",2034,7.3596226423718
"176","Bottom","yes","ssp126","Mean temp nov to jan",2035,6.98052714773584
"177","Bottom","yes","ssp126","Mean temp nov to jan",2036,6.78990797441324
"178","Bottom","yes","ssp126","Mean temp nov to jan",2037,7.4456597064583
"179","Bottom","yes","ssp126","Mean temp nov to jan",2038,7.10927784204628
"180","Bottom","yes","ssp126","Mean temp nov to jan",2039,7.87700524816725
"181","Bottom","yes","ssp126","Mean temp nov to jan",2040,7.10493127122807
"182","Bottom","yes","ssp126","Mean temp nov to jan",2041,8.20840809451466
"183","Bottom","yes","ssp126","Mean temp nov to jan",2042,7.89267264098673
"184","Bottom","yes","ssp126","Mean temp nov to jan",2043,7.38379533506607
"185","Bottom","yes","ssp126","Mean temp nov to jan",2044,6.93275003828177
"186","Bottom","yes","ssp126","Mean temp nov to jan",2045,7.60413477976924
"187","Bottom","yes","ssp126","Mean temp nov to jan",2046,7.55064871721701
"188","Bottom","yes","ssp126","Mean temp nov to jan",2047,7.57015058852215
"189","Bottom","yes","ssp126","Mean temp nov to jan",2048,7.26388430326997
"190","Bottom","yes","ssp126","Mean temp nov to jan",2049,8.0575199352495
"191","Bottom","yes","ssp126","Mean temp nov to jan",2050,6.84241989529468
"192","Bottom","yes","ssp126","Mean temp nov to jan",2051,7.48323119410365
"193","Bottom","yes","ssp126","Mean temp nov to jan",2052,7.49722086880712
"194","Bottom","yes","ssp126","Mean temp nov to jan",2053,7.44583957552013
"195","Bottom","yes","ssp126","Mean temp nov to jan",2054,8.1036549365923
"196","Bottom","yes","ssp126","Mean temp nov to jan",2055,7.90826819589128
"197","Bottom","yes","ssp126","Mean temp nov to jan",2056,7.74850712399111
"198","Bottom","yes","ssp126","Mean temp nov to jan",2057,7.3225315826778
"199","Bottom","yes","ssp126","Mean temp nov to jan",2058,8.10984909107731
"200","Bottom","yes","ssp126","Mean temp nov to jan",2059,7.94843762972787
"201","Bottom","yes","ssp126","Mean temp nov to jan",2060,7.70103425927575
"202","Bottom","yes","ssp126","Mean temp nov to jan",2061,8.30334905426148
"203","Bottom","yes","ssp126","Mean temp nov to jan",2062,7.39213190510513
"204","Bottom","yes","ssp126","Mean temp nov to jan",2063,7.66310031928837
"205","Bottom","yes","ssp126","Mean temp nov to jan",2064,7.87909790766194
"206","Bottom","yes","ssp126","Mean temp nov to jan",2065,7.43886085975461
"207","Bottom","yes","ssp126","Mean temp nov to jan",2066,7.8690676359586
"208","Bottom","yes","ssp126","Mean temp nov to jan",2067,7.93204232147361
"209","Bottom","yes","ssp126","Mean temp nov to jan",2068,7.82566950421041
"210","Bottom","yes","ssp126","Mean temp nov to jan",2069,7.1607436013058
"211","Bottom","yes","ssp126","Mean temp nov to jan",2070,6.78358987892391
"212","Bottom","yes","ssp126","Mean temp nov to jan",2071,7.45232755261675
"213","Bottom","yes","ssp126","Mean temp nov to jan",2072,8.14823836199163
"214","Bottom","yes","ssp126","Mean temp nov to jan",2073,8.11980123081407
