"","depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"1","Bottom","no","ssp126","Mean temp june to aug",1980,6.52356049537315
"2","Bottom","no","ssp126","Mean temp june to aug",1981,6.41257191757746
"3","Bottom","no","ssp126","Mean temp june to aug",1982,7.26469933493903
"4","Bottom","no","ssp126","Mean temp june to aug",1983,7.1725421823096
"5","Bottom","no","ssp126","Mean temp june to aug",1984,6.8132898772631
"6","Bottom","no","ssp126","Mean temp june to aug",1985,6.1625290097257
"7","Bottom","no","ssp126","Mean temp june to aug",1986,7.10265209726783
"8","Bottom","no","ssp126","Mean temp june to aug",1987,6.77353617533538
"9","Bottom","no","ssp126","Mean temp june to aug",1988,6.22684632662178
"10","Bottom","no","ssp126","Mean temp june to aug",1989,6.61967174975779
"11","Bottom","no","ssp126","Mean temp june to aug",1990,6.25856561203316
"12","Bottom","no","ssp126","Mean temp june to aug",1991,6.66289410333174
"13","Bottom","no","ssp126","Mean temp june to aug",1992,6.36933079414263
"14","Bottom","no","ssp126","Mean temp june to aug",1993,5.66742865851961
"15","Bottom","no","ssp126","Mean temp june to aug",1994,6.50990033087452
"16","Bottom","no","ssp126","Mean temp june to aug",1995,5.93218019662235
"17","Bottom","no","ssp126","Mean temp june to aug",1996,5.84255737647412
"18","Bottom","no","ssp126","Mean temp june to aug",1997,5.83132563882788
"19","Bottom","no","ssp126","Mean temp june to aug",1998,7.26291478608472
"20","Bottom","no","ssp126","Mean temp june to aug",1999,6.58239773823558
"21","Bottom","no","ssp126","Mean temp june to aug",2000,7.37208684969909
"22","Bottom","no","ssp126","Mean temp june to aug",2001,6.98370898707849
"23","Bottom","no","ssp126","Mean temp june to aug",2002,7.4971197995191
"24","Bottom","no","ssp126","Mean temp june to aug",2003,6.888863564139
"25","Bottom","no","ssp126","Mean temp june to aug",2004,7.54862908078989
"26","Bottom","no","ssp126","Mean temp june to aug",2005,6.88994442889841
"27","Bottom","no","ssp126","Mean temp june to aug",2006,6.86104797448829
"28","Bottom","no","ssp126","Mean temp june to aug",2007,6.29946247151133
"29","Bottom","no","ssp126","Mean temp june to aug",2008,5.81939476221517
"30","Bottom","no","ssp126","Mean temp june to aug",2009,6.9809883581002
"31","Bottom","no","ssp126","Mean temp june to aug",2010,7.00870200556225
"32","Bottom","no","ssp126","Mean temp june to aug",2011,7.27886177581158
"33","Bottom","no","ssp126","Mean temp june to aug",2012,7.34719111910488
"34","Bottom","no","ssp126","Mean temp june to aug",2013,7.14937010613286
"35","Bottom","no","ssp126","Mean temp june to aug",2014,5.86854162004755
"36","Bottom","no","ssp126","Mean temp june to aug",2015,5.17390285270455
"37","Bottom","no","ssp126","Mean temp june to aug",2016,6.04415003997625
"38","Bottom","no","ssp126","Mean temp june to aug",2017,8.38704628921298
"39","Bottom","no","ssp126","Mean temp june to aug",2018,5.98615353871937
"40","Bottom","no","ssp126","Mean temp june to aug",2019,6.84975404482283
"41","Bottom","no","ssp126","Mean temp june to aug",2020,7.29733133868878
"42","Bottom","no","ssp126","Mean temp june to aug",2021,7.73981517299966
"43","Bottom","no","ssp126","Mean temp june to aug",2022,6.14797738698093
"44","Bottom","no","ssp126","Mean temp june to aug",2023,5.67216046577372
