"","depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"1","Bottom","no","ssp126","Mean temp nov to jan",1980,5.47971233867716
"2","Bottom","no","ssp126","Mean temp nov to jan",1981,6.65737238094502
"3","Bottom","no","ssp126","Mean temp nov to jan",1982,6.16755644333911
"4","Bottom","no","ssp126","Mean temp nov to jan",1983,6.84143296098039
"5","Bottom","no","ssp126","Mean temp nov to jan",1984,5.97214100957471
"6","Bottom","no","ssp126","Mean temp nov to jan",1985,6.20573352865944
"7","Bottom","no","ssp126","Mean temp nov to jan",1986,6.60342698554207
"8","Bottom","no","ssp126","Mean temp nov to jan",1987,6.17562660127847
"9","Bottom","no","ssp126","Mean temp nov to jan",1988,6.04761117712352
"10","Bottom","no","ssp126","Mean temp nov to jan",1989,5.27924483243483
"11","Bottom","no","ssp126","Mean temp nov to jan",1990,5.83506399702386
"12","Bottom","no","ssp126","Mean temp nov to jan",1991,6.15320727695802
"13","Bottom","no","ssp126","Mean temp nov to jan",1992,5.57027049740306
"14","Bottom","no","ssp126","Mean temp nov to jan",1993,5.28051537681324
"15","Bottom","no","ssp126","Mean temp nov to jan",1994,5.62698841308982
"16","Bottom","no","ssp126","Mean temp nov to jan",1995,5.27511520380986
"17","Bottom","no","ssp126","Mean temp nov to jan",1996,6.17294996403199
"18","Bottom","no","ssp126","Mean temp nov to jan",1997,6.36759253043915
"19","Bottom","no","ssp126","Mean temp nov to jan",1998,5.61508436058528
"20","Bottom","no","ssp126","Mean temp nov to jan",1999,7.58324762528525
"21","Bottom","no","ssp126","Mean temp nov to jan",2000,7.06250665683063
"22","Bottom","no","ssp126","Mean temp nov to jan",2001,6.91786597346966
"23","Bottom","no","ssp126","Mean temp nov to jan",2002,6.72062257320682
"24","Bottom","no","ssp126","Mean temp nov to jan",2003,6.60895544851282
"25","Bottom","no","ssp126","Mean temp nov to jan",2004,7.01396105586019
"26","Bottom","no","ssp126","Mean temp nov to jan",2005,7.13297162566196
"27","Bottom","no","ssp126","Mean temp nov to jan",2006,6.31327556444318
"28","Bottom","no","ssp126","Mean temp nov to jan",2007,5.72900400715215
"29","Bottom","no","ssp126","Mean temp nov to jan",2008,5.70088956758358
"30","Bottom","no","ssp126","Mean temp nov to jan",2009,6.64502564465712
"31","Bottom","no","ssp126","Mean temp nov to jan",2010,6.36445214317822
"32","Bottom","no","ssp126","Mean temp nov to jan",2011,7.23631324547345
"33","Bottom","no","ssp126","Mean temp nov to jan",2012,7.38037599181709
"34","Bottom","no","ssp126","Mean temp nov to jan",2013,6.7102932045225
"35","Bottom","no","ssp126","Mean temp nov to jan",2014,6.34192038286982
"36","Bottom","no","ssp126","Mean temp nov to jan",2015,5.64863526946942
"37","Bottom","no","ssp126","Mean temp nov to jan",2016,7.48374743747766
"38","Bottom","no","ssp126","Mean temp nov to jan",2017,8.16493337011812
"39","Bottom","no","ssp126","Mean temp nov to jan",2018,5.69878123520685
"40","Bottom","no","ssp126","Mean temp nov to jan",2019,6.66553662503962
"41","Bottom","no","ssp126","Mean temp nov to jan",2020,7.53996862909062
"42","Bottom","no","ssp126","Mean temp nov to jan",2021,7.55439649152311
"43","Bottom","no","ssp126","Mean temp nov to jan",2022,5.92454021736967
"44","Bottom","no","ssp126","Mean temp nov to jan",2023,5.66295185458666
"45","Bottom","no","ssp126","Mean temp nov to jan",2024,7.08650191735787
"46","Bottom","no","ssp126","Mean temp nov to jan",2025,8.01348926502529
"47","Bottom","no","ssp126","Mean temp nov to jan",2026,7.97430263580784
"48","Bottom","no","ssp126","Mean temp nov to jan",2027,7.33905852938796
"49","Bottom","no","ssp126","Mean temp nov to jan",2028,7.58020795915016
"50","Bottom","no","ssp126","Mean temp nov to jan",2029,7.97235607386621
"51","Bottom","no","ssp126","Mean temp nov to jan",2030,7.04968386531291
"52","Bottom","no","ssp126","Mean temp nov to jan",2031,7.89373704828476
"53","Bottom","no","ssp126","Mean temp nov to jan",2032,7.55720957655231
"54","Bottom","no","ssp126","Mean temp nov to jan",2033,6.81086018446852
"55","Bottom","no","ssp126","Mean temp nov to jan",2034,7.54600180520933
"56","Bottom","no","ssp126","Mean temp nov to jan",2035,7.05914718151733
"57","Bottom","no","ssp126","Mean temp nov to jan",2036,6.79582979479125
"58","Bottom","no","ssp126","Mean temp nov to jan",2037,7.65675883956801
"59","Bottom","no","ssp126","Mean temp nov to jan",2038,7.23866737623334
"60","Bottom","no","ssp126","Mean temp nov to jan",2039,8.16953557481947
"61","Bottom","no","ssp126","Mean temp nov to jan",2040,7.20269480133986
"62","Bottom","no","ssp126","Mean temp nov to jan",2041,8.7097439259011
"63","Bottom","no","ssp126","Mean temp nov to jan",2042,8.27333273212583
"64","Bottom","no","ssp126","Mean temp nov to jan",2043,7.55243263430752
"65","Bottom","no","ssp126","Mean temp nov to jan",2044,6.96890251802175
"66","Bottom","no","ssp126","Mean temp nov to jan",2045,7.88889009936369
