"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","    3,103","    3,258","    3,091","    3,100","    3,092"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,334","    3,184","    2,040","    2,324","    2,344"
"3",NA,NA,"HCR 2a (PFMC)","    1,275","    1,768","    1,185","    1,275","    1,274"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","    1,154","    1,693","      970","    1,149","    1,157"
"5",NA,NA,"HCR 3a (SESSF)","    2,305","    2,468","    3,296","    2,301","    2,312"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","    1,745","    2,222","    1,662","    1,736","    1,736"
"7",NA,NA,"HCR 4 (NEFMC)","    2,026","    2,832","    1,779","    2,021","    2,029"
"8",NA,NA,"HCR 5 (Avg F)","    3,877","    4,996","    3,597","    3,891","    3,871"
"9",NA,"Est M","HCR 1a (NPFMC)","    3,356","    3,514","    3,425","    3,364","    3,375"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,497","    3,424","    2,216","    2,516","    2,502"
"11",NA,NA,"HCR 2a (PFMC)","    1,410","    1,927","    1,345","    1,414","    1,410"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","    1,266","    1,833","    1,091","    1,262","    1,268"
"13",NA,NA,"HCR 3a (SESSF)","    2,395","    2,546","    3,440","    2,401","    2,400"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","    2,334","    2,682","    2,357","    2,330","    2,335"
"15",NA,NA,"HCR 4 (NEFMC)","    2,183","    3,018","    1,938","    2,180","    2,181"
"16",NA,NA,"HCR 5 (Avg F)","    3,854","    5,006","    3,523","    3,857","    3,859"
"17","SS est M","Fix M","HCR 1a (NPFMC)","    3,003","    3,136","    3,004","    2,996","    2,983"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,209","    3,033","    1,945","    2,221","    2,200"
"19",NA,NA,"HCR 2a (PFMC)","    1,196","    1,669","    1,123","    1,199","    1,196"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","    1,075","    1,596","      912","    1,075","    1,073"
"21",NA,NA,"HCR 3a (SESSF)","    2,207","    2,341","    3,185","    2,211","    2,200"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","    1,532","    2,014","    1,418","    1,520","    1,528"
"23",NA,NA,"HCR 4 (NEFMC)","    1,956","    2,704","    1,709","    1,959","    1,942"
"24",NA,NA,"HCR 5 (Avg F)","    3,929","    4,931","    3,694","    3,921","    3,938"
"25",NA,"Est M","HCR 1a (NPFMC)","    2,878","    3,027","    2,877","    2,874","    2,858"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,140","    2,933","    1,879","    2,136","    2,133"
"27",NA,NA,"HCR 2a (PFMC)","    1,170","    1,632","    1,092","    1,165","    1,164"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","    1,053","    1,569","      884","    1,052","    1,048"
"29",NA,NA,"HCR 3a (SESSF)","    2,199","    2,346","    3,161","    2,194","    2,185"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","    1,432","    1,928","    1,285","    1,424","    1,427"
"31",NA,NA,"HCR 4 (NEFMC)","    1,870","    2,613","    1,656","    1,867","    1,876"
"32",NA,NA,"HCR 5 (Avg F)","    3,931","    4,974","    3,709","    3,928","    3,952"
"33","MS","Fix M","HCR 1a (NPFMC)","    3,521","    3,901","    3,584","    3,545","    3,530"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,776","    3,840","    2,433","    2,792","    2,779"
"35",NA,NA,"HCR 2a (PFMC)","    1,506","    2,067","    1,383","    1,512","    1,508"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","    1,378","    1,968","    1,168","    1,385","    1,376"
"37",NA,NA,"HCR 3a (SESSF)","    2,504","    2,859","    3,258","    2,522","    2,495"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","    1,682","    2,321","    1,471","    1,687","    1,675"
"39",NA,NA,"HCR 4 (NEFMC)","    2,468","    3,405","    2,148","    2,465","    2,458"
"40",NA,NA,"HCR 5 (Avg F)","    4,946","    6,363","    4,590","    4,973","    4,936"
"41",NA,"Est M","HCR 1a (NPFMC)","    3,621","    4,057","    3,738","    3,663","    3,605"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","    2,905","    4,013","    2,556","    2,933","    2,904"
"43",NA,NA,"HCR 2a (PFMC)","    1,601","    2,181","    1,459","    1,595","    1,584"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","    1,460","    2,093","    1,256","    1,465","    1,464"
"45",NA,NA,"HCR 3a (SESSF)","    2,494","    2,912","    3,206","    2,513","    2,505"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","    1,872","    2,515","    1,698","    1,854","    1,866"
"47",NA,NA,"HCR 4 (NEFMC)","    2,564","    3,534","    2,263","    2,569","    2,572"
"48",NA,NA,"HCR 5 (Avg F)","    4,849","    6,182","    4,489","    4,845","    4,839"
