"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5"
"1","SS fix M","Fix M","HCR 1a (NPFMC)","  143,606","  203,304","  111,395","  143,616","  143,620"
"2",NA,NA,"HCR 1b (Dynamic NPFMC)","  144,669","  202,642","  115,497","  144,711","  144,675"
"3",NA,NA,"HCR 2a (PFMC)","  122,770","  170,706","   98,074","  122,798","  122,801"
"4",NA,NA,"HCR 2b (Dynamic PFMC)","  122,840","  170,684","   98,826","  122,844","  122,862"
"5",NA,NA,"HCR 3a (SESSF)","  127,905","  178,743","   99,935","  127,913","  127,918"
"6",NA,NA,"HCR 3b (Dynamic SESSF)","  128,316","  178,842","  102,976","  128,318","  128,312"
"7",NA,NA,"HCR 4 (NEFMC)","  147,026","  204,933","  117,942","  147,030","  147,038"
"8",NA,NA,"HCR 5 (Avg F)","  167,554","  234,671","  133,925","  167,553","  167,523"
"9",NA,"Est M","HCR 1a (NPFMC)","  146,857","  207,745","  114,095","  146,858","  146,931"
"10",NA,NA,"HCR 1b (Dynamic NPFMC)","  147,844","  207,209","  118,144","  147,992","  147,848"
"11",NA,NA,"HCR 2a (PFMC)","  126,931","  176,598","  101,322","  126,861","  126,942"
"12",NA,NA,"HCR 2b (Dynamic PFMC)","  126,974","  176,431","  102,266","  127,052","  126,987"
"13",NA,NA,"HCR 3a (SESSF)","  130,852","  182,912","  102,367","  130,807","  130,918"
"14",NA,NA,"HCR 3b (Dynamic SESSF)","  131,517","  183,206","  105,617","  131,436","  131,498"
"15",NA,NA,"HCR 4 (NEFMC)","  150,117","  209,307","  120,424","  150,135","  150,198"
"16",NA,NA,"HCR 5 (Avg F)","  168,811","  236,433","  134,800","  168,808","  168,812"
"17","SS est M","Fix M","HCR 1a (NPFMC)","  144,232","  203,931","  112,012","  144,235","  144,228"
"18",NA,NA,"HCR 1b (Dynamic NPFMC)","  145,256","  203,272","  116,003","  145,256","  145,238"
"19",NA,NA,"HCR 2a (PFMC)","  123,293","  171,333","   98,555","  123,299","  123,318"
"20",NA,NA,"HCR 2b (Dynamic PFMC)","  123,371","  171,261","   99,263","  123,327","  123,334"
"21",NA,NA,"HCR 3a (SESSF)","  128,636","  179,535","  100,641","  128,595","  128,610"
"22",NA,NA,"HCR 3b (Dynamic SESSF)","  128,946","  179,608","  103,559","  128,989","  128,958"
"23",NA,NA,"HCR 4 (NEFMC)","  147,490","  205,504","  118,394","  147,498","  147,530"
"24",NA,NA,"HCR 5 (Avg F)","  168,295","  235,614","  134,551","  168,287","  168,352"
"25",NA,"Est M","HCR 1a (NPFMC)","  142,375","  201,361","  110,431","  142,380","  142,356"
"26",NA,NA,"HCR 1b (Dynamic NPFMC)","  143,321","  200,546","  114,484","  143,302","  143,265"
"27",NA,NA,"HCR 2a (PFMC)","  120,777","  167,706","   96,537","  120,681","  120,704"
"28",NA,NA,"HCR 2b (Dynamic PFMC)","  120,904","  167,763","   97,257","  120,796","  120,723"
"29",NA,NA,"HCR 3a (SESSF)","  126,644","  176,782","   99,103","  126,665","  126,633"
"30",NA,NA,"HCR 3b (Dynamic SESSF)","  126,945","  176,834","  101,871","  126,921","  126,962"
"31",NA,NA,"HCR 4 (NEFMC)","  145,730","  202,868","  116,999","  145,641","  145,690"
"32",NA,NA,"HCR 5 (Avg F)","  168,422","  235,856","  134,639","  168,447","  168,484"
"33","MS","Fix M","HCR 1a (NPFMC)","  153,126","  200,049","  122,738","  152,311","  153,527"
"34",NA,NA,"HCR 1b (Dynamic NPFMC)","  153,409","  198,388","  125,940","  152,677","  153,816"
"35",NA,NA,"HCR 2a (PFMC)","  125,550","  159,054","  103,961","  124,999","  125,865"
"36",NA,NA,"HCR 2b (Dynamic PFMC)","  125,526","  158,953","  104,383","  124,918","  125,826"
"37",NA,NA,"HCR 3a (SESSF)","  131,483","  167,407","  107,113","  130,687","  131,855"
"38",NA,NA,"HCR 3b (Dynamic SESSF)","  131,507","  167,102","  109,059","  130,795","  131,887"
"39",NA,NA,"HCR 4 (NEFMC)","  156,527","  201,997","  128,997","  155,794","  156,896"
"40",NA,NA,"HCR 5 (Avg F)","  175,730","  223,418","  145,536","  174,578","  176,164"
"41",NA,"Est M","HCR 1a (NPFMC)","  158,453","  210,079","  126,596","  157,708","  158,975"
"42",NA,NA,"HCR 1b (Dynamic NPFMC)","  158,609","  208,461","  129,520","  157,888","  158,944"
"43",NA,NA,"HCR 2a (PFMC)","  131,248","  169,281","  107,745","  130,495","  131,391"
"44",NA,NA,"HCR 2b (Dynamic PFMC)","  131,120","  169,167","  108,315","  130,610","  131,398"
"45",NA,NA,"HCR 3a (SESSF)","  136,568","  176,933","  110,758","  135,805","  137,020"
"46",NA,NA,"HCR 3b (Dynamic SESSF)","  136,673","  176,930","  112,603","  135,880","  137,029"
"47",NA,NA,"HCR 4 (NEFMC)","  161,628","  211,731","  132,391","  160,913","  161,932"
"48",NA,NA,"HCR 5 (Avg F)","  175,200","  222,757","  145,148","  174,055","  175,775"
