"","Cap","EM","1. Naive","2. w Ricker","3. SSP-126","4. w Ricker","5. SSP-245","6. w Ricker","7. SSP-585","8. w Ricker"
"1","FALSE","NPFMC Fix-M","0.24","0.25","0.28","0.29","0.3","0.32","0.32","0.34"
"2",NA,"NPFMC Fix-M (Dynamic B0)","0.2","0.2","0.22","0.22","0.23","0.23","0.24","0.24"
"3",NA,"NPFMC Est-M","0.19","0.18","0.22","0.21","0.24","0.22","0.25","0.23"
"4",NA,"NPFMC Est-M (Dynamic B0)","0.18","0.17","0.19","0.18","0.2","0.19","0.21","0.19"
"5",NA,"MS-B40 iter",NA,"0.15",NA,"0.17",NA,"0.19",NA,"0.18"
"6",NA,"MS-B40 simul","0.15","0.15","0.16","0.17","0.17","0.19","0.18","0.18"
"7",NA,"MS-MSY","0.46",NA,"0.52",NA,"0.57",NA,"0.59",NA
"8",NA,"MS-cMSY","0.33","0.37","0.36","0.44","0.37","0.48","0.41","0.52"
"9","TRUE","NPFMC Fix-M","0.25","0.26","0.28","0.31","0.3","0.34","0.32","0.35"
"10",NA,"NPFMC Fix-M (Dynamic B0)","0.2","0.21","0.22","0.23","0.23","0.24","0.24","0.24"
"11",NA,"NPFMC Est-M","0.19","0.19","0.22","0.21","0.24","0.23","0.26","0.24"
"12",NA,"NPFMC Est-M (Dynamic B0)","0.18","0.17","0.19","0.19","0.21","0.2","0.21","0.2"
"13",NA,"MS-B40 iter","0.15","0.2","0.16","0.25","0.16","0.25","0.16","0.22"
"14",NA,"MS-B40 simul","0.15","0.21","0.17","0.23","0.17","0.25","0.18","0.22"
"15",NA,"MS-MSY","0.33",NA,"0.37",NA,"0.38",NA,"0.39",NA
"16",NA,"MS-cMSY","0.28","0.43","0.31","0.64","0.32","0.65","0.34","0.65"
