"","OM","EM","HCR","Exp. 1","Exp. 2","Exp. 3","Exp. 4","Exp. 5","All Exp.","All Exp. & OM"
"1","SS fix M","Fix M","HCR 1a (NPFMC)",6,8,1,6,6,27,99
"2",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,118
"3",NA,NA,"HCR 2a (PFMC)",5,6,5,4,4,24,83
"4",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,8,8,8,40,115
"5",NA,NA,"HCR 3a (SESSF)",8,8,6,8,8,38,118
"6",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,120
"7",NA,NA,"HCR 4 (NEFMC)",0,2,0,0,0,2,42
"8",NA,NA,"HCR 5 (Avg F)",8,8,6,8,8,38,119
"9",NA,"Est M","HCR 1a (NPFMC)",3,3,2,3,1,12,44
"10",NA,NA,"HCR 1b (Dynamic NPFMC)",3,3,3,3,3,15,59
"11",NA,NA,"HCR 2a (PFMC)",2,1,1,1,1,6,22
"12",NA,NA,"HCR 2b (Dynamic PFMC)",3,3,3,3,3,15,37
"13",NA,NA,"HCR 3a (SESSF)",6,8,6,6,6,32,92
"14",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,112
"15",NA,NA,"HCR 4 (NEFMC)",2,1,1,1,1,6,17
"16",NA,NA,"HCR 5 (Avg F)",9,9,7,9,9,43,131
"17","SS est M","Fix M","HCR 1a (NPFMC)",8,8,4,8,8,36,NA
"18",NA,NA,"HCR 1b (Dynamic NPFMC)",8,8,8,8,8,40,NA
"19",NA,NA,"HCR 2a (PFMC)",6,8,5,6,6,31,NA
"20",NA,NA,"HCR 2b (Dynamic PFMC)",8,8,9,8,8,41,NA
"21",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"22",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"23",NA,NA,"HCR 4 (NEFMC)",4,6,2,4,4,20,NA
"24",NA,NA,"HCR 5 (Avg F)",8,8,8,8,8,40,NA
"25",NA,"Est M","HCR 1a (NPFMC)",4,6,3,3,4,20,NA
"26",NA,NA,"HCR 1b (Dynamic NPFMC)",6,6,6,6,6,30,NA
"27",NA,NA,"HCR 2a (PFMC)",0,0,0,0,0,0,NA
"28",NA,NA,"HCR 2b (Dynamic PFMC)",1,4,1,2,2,10,NA
"29",NA,NA,"HCR 3a (SESSF)",8,8,5,8,8,37,NA
"30",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"31",NA,NA,"HCR 4 (NEFMC)",0,0,0,0,0,0,NA
"32",NA,NA,"HCR 5 (Avg F)",9,9,8,9,9,44,NA
"33","MS","Fix M","HCR 1a (NPFMC)",8,6,8,6,8,36,NA
"34",NA,NA,"HCR 1b (Dynamic NPFMC)",8,6,8,8,8,38,NA
"35",NA,NA,"HCR 2a (PFMC)",6,4,6,6,6,28,NA
"36",NA,NA,"HCR 2b (Dynamic PFMC)",8,4,8,6,8,34,NA
"37",NA,NA,"HCR 3a (SESSF)",8,8,8,8,8,40,NA
"38",NA,NA,"HCR 3b (Dynamic SESSF)",8,8,8,8,8,40,NA
"39",NA,NA,"HCR 4 (NEFMC)",4,4,4,4,4,20,NA
"40",NA,NA,"HCR 5 (Avg F)",8,9,8,8,8,41,NA
"41",NA,"Est M","HCR 1a (NPFMC)",3,2,2,2,3,12,NA
"42",NA,NA,"HCR 1b (Dynamic NPFMC)",3,2,3,3,3,14,NA
"43",NA,NA,"HCR 2a (PFMC)",4,3,3,3,3,16,NA
"44",NA,NA,"HCR 2b (Dynamic PFMC)",4,2,2,2,2,12,NA
"45",NA,NA,"HCR 3a (SESSF)",6,4,5,4,4,23,NA
"46",NA,NA,"HCR 3b (Dynamic SESSF)",8,6,6,6,6,32,NA
"47",NA,NA,"HCR 4 (NEFMC)",3,2,2,2,2,11,NA
"48",NA,NA,"HCR 5 (Avg F)",9,8,9,9,9,44,NA
