"","Cap","EM","1. Naive","2. w Ricker","3. SSP-126","4. w Ricker","5. SSP-245","6. w Ricker","7. SSP-585","8. w Ricker"
"1","FALSE","NPFMC Fix-M","0.29","0.29","0.57","0.53","0.67","0.67","0.65","0.64"
"2",NA,"NPFMC Fix-M (Dynamic B0)","0.29","0.29","0.49","0.46","0.5","0.59","0.53","0.57"
"3",NA,"NPFMC Est-M","0.25","0.26","0.48","0.44","0.55","0.5","0.51","0.49"
"4",NA,"NPFMC Est-M (Dynamic B0)","0.24","0.26","0.4","0.39","0.39","0.38","0.4","0.4"
"5",NA,"MS-B40 iter",NA,"0.82",NA,"0.97",NA,"1.22",NA,"1.14"
"6",NA,"MS-B40 simul","0.4","0.82","0.65","0.97","0.77","1.24","0.78","1.13"
"7",NA,"MS-MSY","0.64",NA,"1.06",NA,"1.37",NA,"1.42",NA
"8",NA,"MS-cMSY","0.54","2.15","0.89","1.93","1.08","2.15","1.1","1.98"
"9","TRUE","NPFMC Fix-M","0.12","0.2","0.36","0.52","0.51","0.57","0.46","0.55"
"10",NA,"NPFMC Fix-M (Dynamic B0)","0.11","0.21","0.26","0.4","0.33","0.46","0.33","0.43"
"11",NA,"NPFMC Est-M","0.16","0.17","0.41","0.51","0.57","0.57","0.51","0.54"
"12",NA,"NPFMC Est-M (Dynamic B0)","0.15","0.17","0.31","0.33","0.35","0.41","0.36","0.39"
"13",NA,"MS-B40 iter","0.08","0.25","0.24","0.46","0.3","0.43","0.3","0.41"
"14",NA,"MS-B40 simul","0.08","0.25","0.23","0.46","0.31","0.43","0.3","0.41"
"15",NA,"MS-MSY","0.08",NA,"0.2",NA,"0.34",NA,"0.33",NA
"16",NA,"MS-cMSY","0.08","0.19","0.21","0.48","0.32","0.42","0.3","0.4"
