"","Species","Performance.metric","SS_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",155878.877632745
"2","Pollock","Catch IAV",18737.963964976
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00542181500733905
"5","Pollock","EM: P(Fy > Flimit)",0.000952380952380952
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.0933333333333333
"8","Pollock","OM: P(SSB < SSBlimit)",0.308253968253968
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00174603174603175
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.186507936507937
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.308253968253968
"13","Pollock","OM: Terminal SSB Depletion",0.387944588502251
"14","Arrowtooth flounder","Average Catch",86933.5835062569
"15","Arrowtooth flounder","Catch IAV",571.867385237927
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00332517295971691
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.436360693239902
"27","Cod","Average Catch",27830.7085487647
"28","Cod","Catch IAV",7491.08355610001
"29","Cod","P(Closed)",0.00325396825396825
"30","Cod","Avg terminal SSB Relative MSE",0.00307245176481282
"31","Cod","EM: P(Fy > Flimit)",0.028015873015873
"32","Cod","EM: P(SSB < SSBlimit)",0.000793650793650794
"33","Cod","OM: P(Fy > Flimit)",0.064047619047619
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0533333333333333
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.125396825396825
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000793650793650794
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.402214676468525
