"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_Cat1_EM"
"1","Pollock","Average Catch",284975.85142393
"2","Pollock","Catch IAV",0.315684280497149
"3","Pollock","P(Closed)",0
"4","Pollock","Avg SSB relative bias",-0.808495181396316
"5","Pollock","Avg terminal SSB relative bias",0.354763153489094
"6","Pollock","Avg SSB Relative MSE",0.81058223474954
"7","Pollock","Avg terminal SSB Relative MSE",0.367233395742648
"8","Pollock","EM: P(Fy > Flimit)",0.00373015873015873
"9","Pollock","EM: P(SSB < SSBlimit)",0.00111111111111111
"10","Pollock","OM: P(Fy > Flimit)",0.831349206349206
"11","Pollock","OM: P(SSB < SSBlimit)",7.93650793650794e-05
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.827619047619048
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00103174603174603
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"16","Pollock","OM: Terminal B",2912401.98108752
"17","Pollock","OM: Terminal SSB",410766.411173927
"18","Pollock","OM: Terminal SSB Depletion",1.54875940765611
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.431471179101632
"20","Pollock","OM: Average SSB Depletion",1.31236919825243
"21","Arrowtooth flounder","Average Catch",139609.038306523
"22","Arrowtooth flounder","Catch IAV",0.0587950701433001
"23","Arrowtooth flounder","P(Closed)",0
"24","Arrowtooth flounder","Avg SSB relative bias",-0.680746757099929
"25","Arrowtooth flounder","Avg terminal SSB relative bias",0.370986710924997
"26","Arrowtooth flounder","Avg SSB Relative MSE",0.682299216373587
"27","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.37222722834024
"28","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"29","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"31","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Arrowtooth flounder","OM: Terminal B",2320044.33057724
"37","Arrowtooth flounder","OM: Terminal SSB",540373.33792217
"38","Arrowtooth flounder","OM: Terminal SSB Depletion",0.688788052579751
"39","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.52604660890299
"40","Arrowtooth flounder","OM: Average SSB Depletion",0.646616327779916
"41","Cod","Average Catch",42237.2943119919
"42","Cod","Catch IAV",0.289502907097984
"43","Cod","P(Closed)",0.000158730158730159
"44","Cod","Avg SSB relative bias",-0.325892614126858
"45","Cod","Avg terminal SSB relative bias",0.398570282953811
"46","Cod","Avg SSB Relative MSE",0.347709493696141
"47","Cod","Avg terminal SSB Relative MSE",0.404321559805737
"48","Cod","EM: P(Fy > Flimit)",0.40547619047619
"49","Cod","EM: P(SSB < SSBlimit)",0.0627777777777778
"50","Cod","OM: P(Fy > Flimit)",0.96968253968254
"51","Cod","OM: P(SSB < SSBlimit)",0.103650793650794
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.564206349206349
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000634920634920635
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0415079365079365
"56","Cod","OM: Terminal B",393477.530392244
"57","Cod","OM: Terminal SSB",187208.782010972
"58","Cod","OM: Terminal SSB Depletion",0.640358664284241
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.406099245772383
"60","Cod","OM: Average SSB Depletion",0.556193150009063
