"","Species","Performance metric","MS_OM__SS_estM_Cat1_EM_AllUp"
"1","Pollock","Average Catch",510927.677764451
"2","Pollock","Catch IAV",54672.6033627789
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.114450520404946
"5","Pollock","EM: P(Fy > Flimit)",0.00801587301587302
"6","Pollock","EM: P(SSB < SSBlimit)",0.00626984126984127
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.389920634920635
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00801587301587302
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.383650793650794
"13","Pollock","OM: Terminal SSB Depletion",0.317343216931787
"14","Arrowtooth flounder","Average Catch",164860.802860866
"15","Arrowtooth flounder","Catch IAV",2193.13143939758
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0222108079270263
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.415177653765152
"27","Cod","Average Catch",23838.5692000018
"28","Cod","Catch IAV",2852.10368225548
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0354016125690701
"31","Cod","EM: P(Fy > Flimit)",0.0125396825396825
"32","Cod","EM: P(SSB < SSBlimit)",0.0836507936507937
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.0738888888888889
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0125396825396825
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00976190476190476
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.659565809850703
