"","Species","Performance metric","SSM_OM__SS_fixM_AvgF_EM_ATFRdown"
"1","Pollock","Average Catch",119021.555645796
"2","Pollock","Catch IAV",9031.45858036025
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0262282081606172
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00103174603174603
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0179365079365079
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0030952380952381
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0538095238095238
"13","Pollock","OM: Terminal SSB/SSBtarget",0.463767167345569
"14","Arrowtooth flounder","Average Catch",17563.2124740705
"15","Arrowtooth flounder","Catch IAV",12.4166538132135
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0930540552004128
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.715830627187386
"27","Cod","Average Catch",18286.7778165212
"28","Cod","Catch IAV",3007.67164531306
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.178825222687821
"31","Cod","EM: P(Fy > Flimit)",0.0466666666666667
"32","Cod","EM: P(SSB < SSBlimit)",0.0656349206349206
"33","Cod","OM: P(Fy > Flimit)",0.743888888888889
"34","Cod","OM: P(SSB < SSBlimit)",0.208333333333333
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.697222222222222
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.127857142857143
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.555952380952381
"39","Cod","OM: Terminal SSB/SSBtarget",0.264569228088563
