"","Species","Performance metric","SS_OM__SS_fixM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch",151070.804103284
"2","Pollock","Catch IAV",21529.2329954378
"3","Pollock","P(Closed)",0.00484126984126984
"4","Pollock","Avg terminal SSB Relative MSE",0.0078925479779273
"5","Pollock","EM: P(Fy > Flimit)",0.039047619047619
"6","Pollock","EM: P(SSB < SSBlimit)",0.000952380952380952
"7","Pollock","OM: P(Fy > Flimit)",0.636825396825397
"8","Pollock","OM: P(SSB < SSBlimit)",0.00904761904761905
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00626984126984127
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.604047619047619
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000238095238095238
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00833333333333333
"13","Pollock","OM: Terminal SSB Depletion",0.420386976086643
"14","Arrowtooth flounder","Average Catch",70788.7723468431
"15","Arrowtooth flounder","Catch IAV",639.838849298582
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00211780805025363
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0231746031746032
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0231746031746032
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.406322435940375
"27","Cod","Average Catch",31822.9198554687
"28","Cod","Catch IAV",12806.1255465341
"29","Cod","P(Closed)",0.0305555555555556
"30","Cod","Avg terminal SSB Relative MSE",0.00571258876748917
"31","Cod","EM: P(Fy > Flimit)",0.0655555555555556
"32","Cod","EM: P(SSB < SSBlimit)",0.0320634920634921
"33","Cod","OM: P(Fy > Flimit)",0.197698412698413
"34","Cod","OM: P(SSB < SSBlimit)",0.0069047619047619
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0165873015873016
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.148730158730159
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0303968253968254
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00523809523809524
"39","Cod","OM: Terminal SSB Depletion",0.444830184164919
