"","Species","Performance metric","SS_OM__SS_estM_dynamicTier3_EM_AllDown"
"1","Pollock","Average Catch",130405.205882063
"2","Pollock","Catch IAV",17865.7080548225
"3","Pollock","P(Closed)",0.000158730158730159
"4","Pollock","Avg terminal SSB Relative MSE",0.0167345195623375
"5","Pollock","EM: P(Fy > Flimit)",0.115634920634921
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0.91968253968254
"8","Pollock","OM: P(SSB < SSBlimit)",0.00206349206349206
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00119047619047619
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.805238095238095
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00198412698412698
"13","Pollock","OM: Terminal SSB/SSBtarget",0.268176382906518
"14","Arrowtooth flounder","Average Catch",72410.3988689712
"15","Arrowtooth flounder","Catch IAV",2026.34075261796
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00348624780870154
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0736507936507936
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0736507936507936
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.35900646392772
"27","Cod","Average Catch",20174.0915903788
"28","Cod","Catch IAV",5261.72360030323
"29","Cod","P(Closed)",7.93650793650794e-05
"30","Cod","Avg terminal SSB Relative MSE",0.0279226899887309
"31","Cod","EM: P(Fy > Flimit)",0.0254761904761905
"32","Cod","EM: P(SSB < SSBlimit)",0
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0254761904761905
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB/SSBtarget",0.364398670014526
