"","Species","Performance metric","SSM_OM__SS_fixM_Fspr_EM_AllDown"
"1","Pollock","Average Catch",119016.218722479
"2","Pollock","Catch IAV",12596.8125708299
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0139567931972523
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.127063492063492
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.132698412698413
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.331428571428571
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.348333333333333
"13","Pollock","OM: Terminal SSB/SSBtarget",0.279284966363152
"14","Arrowtooth flounder","Average Catch",84021.1987173423
"15","Arrowtooth flounder","Catch IAV",699.355294282182
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.133106440698261
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.389283119920503
"27","Cod","Average Catch",16180.3509756205
"28","Cod","Catch IAV",6464.71235905618
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.110476829769925
"31","Cod","EM: P(Fy > Flimit)",0.999920634920635
"32","Cod","EM: P(SSB < SSBlimit)",0.227936507936508
"33","Cod","OM: P(Fy > Flimit)",1
"34","Cod","OM: P(SSB < SSBlimit)",0.638333333333333
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",7.93650793650794e-05
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.246587301587302
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",1.47777777777778
"39","Cod","OM: Terminal SSB/SSBtarget",0.143253157768124
