"","Species","Performance metric","SS_OM__SS_fixM_dynamicCat1_EM_AllDown"
"1","Pollock","Average Catch",95592.0125250015
"2","Pollock","Catch IAV",7235.06604492426
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00955523331895856
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.0911904761904762
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0911904761904762
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.389246323519693
"14","Arrowtooth flounder","Average Catch",80362.9339966913
"15","Arrowtooth flounder","Catch IAV",1294.0741246292
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00450827036504232
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.0276190476190476
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0276190476190476
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.303300563925292
"27","Cod","Average Catch",22184.6280156464
"28","Cod","Catch IAV",5390.37623085268
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0021189026860641
"31","Cod","EM: P(Fy > Flimit)",0.218492063492063
"32","Cod","EM: P(SSB < SSBlimit)",0.00246031746031746
"33","Cod","OM: P(Fy > Flimit)",0.517857142857143
"34","Cod","OM: P(SSB < SSBlimit)",0.00253968253968254
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0158730158730159
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.315238095238095
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000952380952380952
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00103174603174603
"39","Cod","OM: Terminal SSB/SSBtarget",0.331170911522849
