"","Species","Performance metric","SSM_OM__SS_fixM_Cat1_EM_ConstantR"
"1","Pollock","Average Catch",114587.249326714
"2","Pollock","Catch IAV",8348.685677386
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0275074383517624
"5","Pollock","EM: P(Fy > Flimit)",0.000158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0.00714285714285714
"7","Pollock","OM: P(Fy > Flimit)",0.118888888888889
"8","Pollock","OM: P(SSB < SSBlimit)",0.0488095238095238
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.118730158730159
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0417460317460317
"13","Pollock","OM: Terminal SSB/SSBtarget",0.480017035855126
"14","Arrowtooth flounder","Average Catch",110885.107129717
"15","Arrowtooth flounder","Catch IAV",1057.61243648661
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.148139834274072
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.416002668979732
"27","Cod","Average Catch",19302.5385533983
"28","Cod","Catch IAV",4831.21384815739
"29","Cod","P(Closed)",0.00452380952380952
"30","Cod","Avg terminal SSB Relative MSE",0.145597214080295
"31","Cod","EM: P(Fy > Flimit)",0.312698412698413
"32","Cod","EM: P(SSB < SSBlimit)",0.103492063492063
"33","Cod","OM: P(Fy > Flimit)",0.984206349206349
"34","Cod","OM: P(SSB < SSBlimit)",0.590555555555556
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.671507936507936
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.487063492063492
"39","Cod","OM: Terminal SSB/SSBtarget",0.230698681162993
