"","Species","Performance metric","SS_Ricker_OM__SS_fixM_Cat1_EM_ConstantR"
"1","Pollock","Average Catch",360741.540320708
"2","Pollock","Catch IAV",44307.1531826326
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00448728353742905
"5","Pollock","EM: P(Fy > Flimit)",0.00753968253968254
"6","Pollock","EM: P(SSB < SSBlimit)",0.00246031746031746
"7","Pollock","OM: P(Fy > Flimit)",0.0181746031746032
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00714285714285714
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0177777777777778
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00246031746031746
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB Depletion",2.30807306625488
"14","Arrowtooth flounder","Average Catch",112139.086844181
"15","Arrowtooth flounder","Catch IAV",284.444271788981
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00228565646457111
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.705694140215373
"27","Cod","Average Catch",62062.2348547202
"28","Cod","Catch IAV",24998.7831862875
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00473556710223156
"31","Cod","EM: P(Fy > Flimit)",0.307619047619048
"32","Cod","EM: P(SSB < SSBlimit)",0.0134920634920635
"33","Cod","OM: P(Fy > Flimit)",0.697619047619048
"34","Cod","OM: P(SSB < SSBlimit)",0.0435714285714286
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00603174603174603
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.396031746031746
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",7.93650793650794e-05
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0301587301587302
"39","Cod","OM: Terminal SSB Depletion",0.54625491877705
