"","Species","Performance metric","MS_OM__SS_estM_Tier3_EM"
"1","Pollock","Average Catch",510883.418548459
"2","Pollock","Catch IAV",0.391806790660634
"3","Pollock","P(Closed)",0.00761904761904762
"4","Pollock","Avg SSB Relative MSE",0.793560604403541
"5","Pollock","Avg terminal SSB Relative MSE",0.114379975848025
"6","Pollock","EM: P(Fy > Flimit)",0.00825396825396825
"7","Pollock","EM: P(SSB < SSBlimit)",0.00261904761904762
"8","Pollock","OM: P(Fy > Flimit)",7.93650793650794e-05
"9","Pollock","OM: P(SSB < SSBlimit)",0.0594444444444444
"10","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0165079365079365
"11","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.000158730158730159
"12","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"13","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0568253968253968
"14","Pollock","OM: Terminal B",3925857.90668648
"15","Pollock","OM: Terminal SSB",297047.814767446
"16","Pollock","OM: Terminal SSB Depletion",0.578117479416426
"17","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.537975430219256
"18","Pollock","OM: Average SSB Depletion",0.577030993369857
"19","Arrowtooth flounder","Average Catch",109034.669942271
"20","Arrowtooth flounder","Catch IAV",0.123241898037086
"21","Arrowtooth flounder","P(Closed)",0
"22","Arrowtooth flounder","Avg SSB Relative MSE",0.561673241195733
"23","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0116981048970794
"24","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"25","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"27","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"28","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"29","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"30","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"31","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","OM: Terminal B",1546266.9469457
"33","Arrowtooth flounder","OM: Terminal SSB",347346.585925156
"34","Arrowtooth flounder","OM: Terminal SSB Depletion",0.45865300962859
"35","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.459102385919147
"36","Arrowtooth flounder","OM: Average SSB Depletion",0.459100934364147
"37","Cod","Average Catch",22567.0900699674
"38","Cod","Catch IAV",0.267363350143821
"39","Cod","P(Closed)",0.0484920634920635
"40","Cod","Avg SSB Relative MSE",0.336613184819223
"41","Cod","Avg terminal SSB Relative MSE",0.0138920449178487
"42","Cod","EM: P(Fy > Flimit)",0.00126984126984127
"43","Cod","EM: P(SSB < SSBlimit)",0.0406349206349206
"44","Cod","OM: P(Fy > Flimit)",0
"45","Cod","OM: P(SSB < SSBlimit)",0.0772222222222222
"46","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00253968253968254
"47","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"48","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"49","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0365873015873016
"50","Cod","OM: Terminal B",378954.081573927
"51","Cod","OM: Terminal SSB",183034.055199038
"52","Cod","OM: Terminal SSB Depletion",0.519302031723877
"53","Cod","OM: Terminal SSB Depletion (Dynamic)",0.514921217189235
"54","Cod","OM: Average SSB Depletion",0.505408713251979
