"","Species","Performance metric","SSM_Ricker_OM__SS_fixM_dynamicCat1_EM_ConstantR"
"1","Pollock","Average Catch",286381.299670113
"2","Pollock","Catch IAV",29992.539052379
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0522403126010561
"5","Pollock","EM: P(Fy > Flimit)",0.00317460317460317
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.142460317460317
"8","Pollock","OM: P(SSB < SSBlimit)",0.184603174603175
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00182539682539683
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.141111111111111
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.184603174603175
"13","Pollock","OM: Terminal SSB Depletion",0.374662306581334
"14","Arrowtooth flounder","Average Catch",139558.004522922
"15","Arrowtooth flounder","Catch IAV",496.316247666234
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.13962400282466
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",1
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",1
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.50378894255903
"27","Cod","Average Catch",41795.1564462066
"28","Cod","Catch IAV",10947.317437872
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.135764062558047
"31","Cod","EM: P(Fy > Flimit)",0.380555555555556
"32","Cod","EM: P(SSB < SSBlimit)",0.0526190476190476
"33","Cod","OM: P(Fy > Flimit)",0.921428571428571
"34","Cod","OM: P(SSB < SSBlimit)",0.212222222222222
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000317460317460317
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.541190476190476
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00111111111111111
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.160714285714286
"39","Cod","OM: Terminal SSB Depletion",0.38457255392024
