"","Species","Performance metric","MS_OM__SS_fixM_Cat1_EM_AllDown"
"1","Pollock","Average Catch",188121.231542327
"2","Pollock","Catch IAV",10332.7596908522
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0479723360143294
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",7.93650793650794e-05
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0046031746031746
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00452380952380952
"13","Pollock","OM: Terminal SSB Depletion",0.592026449367015
"14","Arrowtooth flounder","Average Catch",96775.8640411047
"15","Arrowtooth flounder","Catch IAV",1159.65482679172
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.183351172982423
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.423207401348192
"27","Cod","Average Catch",22338.4330681521
"28","Cod","Catch IAV",4913.45512326856
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0265973281655778
"31","Cod","EM: P(Fy > Flimit)",0.17547619047619
"32","Cod","EM: P(SSB < SSBlimit)",0.0867460317460318
"33","Cod","OM: P(Fy > Flimit)",0
"34","Cod","OM: P(SSB < SSBlimit)",0.110079365079365
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.17547619047619
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0152380952380952
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0385714285714286
"39","Cod","OM: Terminal SSB Depletion",0.42333380275801
