"","Species","Performance metric","SS_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",154801.768708847
"2","Pollock","Catch IAV",19863.8974748703
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00447284877446057
"5","Pollock","EM: P(Fy > Flimit)",0.00253968253968254
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.118888888888889
"8","Pollock","OM: P(SSB < SSBlimit)",0.307698412698413
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00396825396825397
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.236666666666667
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.307698412698413
"13","Pollock","OM: Terminal SSB Depletion",0.38680419910356
"14","Arrowtooth flounder","Average Catch",86968.9589723877
"15","Arrowtooth flounder","Catch IAV",632.341979227552
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00333077625183666
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.43452906225942
"27","Cod","Average Catch",28138.4512415246
"28","Cod","Catch IAV",7753.52293012098
"29","Cod","P(Closed)",0.00388888888888889
"30","Cod","Avg terminal SSB Relative MSE",0.00410654266140225
"31","Cod","EM: P(Fy > Flimit)",0.0333333333333333
"32","Cod","EM: P(SSB < SSBlimit)",0.000873015873015873
"33","Cod","OM: P(Fy > Flimit)",0.0712698412698413
"34","Cod","OM: P(SSB < SSBlimit)",0
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0630952380952381
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.138968253968254
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000873015873015873
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"39","Cod","OM: Terminal SSB Depletion",0.397481316265456
