"","Species","Performance metric","SS_Ricker_OM__SS_fixM_dynamicCat1_EM_TRUE regen"
"1","Pollock","Average Catch",299642.049520312
"2","Pollock","Catch IAV",34776.5972422252
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00791529318369275
"5","Pollock","EM: P(Fy > Flimit)",0.0073015873015873
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.0122222222222222
"8","Pollock","OM: P(SSB < SSBlimit)",0.0696031746031746
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00706349206349206
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.011984126984127
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0696031746031746
"13","Pollock","OM: Terminal SSB Depletion",0.45481823641939
"14","Arrowtooth flounder","Average Catch",125686.594384439
"15","Arrowtooth flounder","Catch IAV",520.060118098073
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0038744288210606
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.476457286888215
"27","Cod","Average Catch",54287.6667105392
"28","Cod","Catch IAV",13359.4350591553
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00248530505019678
"31","Cod","EM: P(Fy > Flimit)",0.197063492063492
"32","Cod","EM: P(SSB < SSBlimit)",0.00373015873015873
"33","Cod","OM: P(Fy > Flimit)",0.372936507936508
"34","Cod","OM: P(SSB < SSBlimit)",0.0883333333333333
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0379365079365079
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.213809523809524
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00341269841269841
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.088015873015873
"39","Cod","OM: Terminal SSB Depletion",0.497566754057192
