"","Species","Performance metric","SSM_OM__SS_fixM_Tier3_EM_ATFRdown"
"1","Pollock","Average Catch",144048.181564421
"2","Pollock","Catch IAV",18693.4653414822
"3","Pollock","P(Closed)",0.00333333333333333
"4","Pollock","Avg terminal SSB Relative MSE",0.0187215065409566
"5","Pollock","EM: P(Fy > Flimit)",0.0288095238095238
"6","Pollock","EM: P(SSB < SSBlimit)",0.000952380952380952
"7","Pollock","OM: P(Fy > Flimit)",0.665396825396825
"8","Pollock","OM: P(SSB < SSBlimit)",0.0106349206349206
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00206349206349206
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.638650793650794
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00968253968253968
"13","Pollock","OM: Terminal SSB Depletion",0.415808381621627
"14","Arrowtooth flounder","Average Catch",80989.689289724
"15","Arrowtooth flounder","Catch IAV",639.116287924944
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.12884200867025
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.4352381632874
"27","Cod","Average Catch",20282.2345145039
"28","Cod","Catch IAV",12907.3647895987
"29","Cod","P(Closed)",0.0648412698412698
"30","Cod","Avg terminal SSB Relative MSE",0.154386382127254
"31","Cod","EM: P(Fy > Flimit)",0.172698412698413
"32","Cod","EM: P(SSB < SSBlimit)",0.0569047619047619
"33","Cod","OM: P(Fy > Flimit)",0.951269841269841
"34","Cod","OM: P(SSB < SSBlimit)",0.200396825396825
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.778571428571429
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0465079365079365
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.19
"39","Cod","OM: Terminal SSB Depletion",0.263378036823565
