"","Species","Performance metric","SS_OM__SS_estM_Fspr_EM_AllDown"
"1","Pollock","Average Catch",132704.653044919
"2","Pollock","Catch IAV",14307.0064379895
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0134384861756483
"5","Pollock","EM: P(Fy > Flimit)",0.682777777777778
"6","Pollock","EM: P(SSB < SSBlimit)",0.143333333333333
"7","Pollock","OM: P(Fy > Flimit)",0.989920634920635
"8","Pollock","OM: P(SSB < SSBlimit)",0.325873015873016
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00317460317460317
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.31031746031746
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00317460317460317
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.185714285714286
"13","Pollock","OM: Terminal SSB Depletion",0.300729299095215
"14","Arrowtooth flounder","Average Catch",73035.4302666329
"15","Arrowtooth flounder","Catch IAV",1988.26052428439
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00371094176981801
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0.239920634920635
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.209444444444444
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",7.93650793650794e-05
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.131031746031746
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.100555555555556
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",7.93650793650794e-05
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.391885575054797
"27","Cod","Average Catch",20627.903819441
"28","Cod","Catch IAV",4448.10317609712
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.0250271199807145
"31","Cod","EM: P(Fy > Flimit)",0.361111111111111
"32","Cod","EM: P(SSB < SSBlimit)",0.0781746031746032
"33","Cod","OM: P(Fy > Flimit)",0.000634920634920635
"34","Cod","OM: P(SSB < SSBlimit)",0.0347619047619048
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.36047619047619
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0557142857142857
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0123015873015873
"39","Cod","OM: Terminal SSB Depletion",0.431517517181292
