"","Species","Performance metric","SSM_OM__SS_fixM_dynamicTier3_EM_ConstantR"
"1","Pollock","Average Catch",140757.175911793
"2","Pollock","Catch IAV",15333.7543891186
"3","Pollock","P(Closed)",7.93650793650794e-05
"4","Pollock","Avg terminal SSB Relative MSE",0.102689135216086
"5","Pollock","EM: P(Fy > Flimit)",0.00142857142857143
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.97452380952381
"8","Pollock","OM: P(SSB < SSBlimit)",0.537936507936508
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000158730158730159
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",1.94634920634921
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.537936507936508
"13","Pollock","OM: Terminal SSB Depletion",0.297824006985657
"14","Arrowtooth flounder","Average Catch",99581.9117954901
"15","Arrowtooth flounder","Catch IAV",493.420029474092
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.139478689878268
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.495016166711273
"27","Cod","Average Catch",20206.5271088893
"28","Cod","Catch IAV",7979.35627909744
"29","Cod","P(Closed)",0.0493650793650794
"30","Cod","Avg terminal SSB Relative MSE",0.11196367720683
"31","Cod","EM: P(Fy > Flimit)",0.112063492063492
"32","Cod","EM: P(SSB < SSBlimit)",0.0365873015873016
"33","Cod","OM: P(Fy > Flimit)",0.950634920634921
"34","Cod","OM: P(SSB < SSBlimit)",0.255714285714286
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0444444444444444
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",1.7215873015873
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.219126984126984
"39","Cod","OM: Terminal SSB Depletion",0.210772732715997
