"","Species","Performance metric","SS_OM__SS_fixM_Fspr_EM_ATFRup"
"1","Pollock","Average Catch",156505.8694501
"2","Pollock","Catch IAV",16462.8803559809
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00829454121661884
"5","Pollock","EM: P(Fy > Flimit)",0.613174603174603
"6","Pollock","EM: P(SSB < SSBlimit)",0.0396825396825397
"7","Pollock","OM: P(Fy > Flimit)",0.965
"8","Pollock","OM: P(SSB < SSBlimit)",0.0879365079365079
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00373015873015873
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.355555555555556
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00198412698412698
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0502380952380952
"13","Pollock","OM: Terminal SSB Depletion",0.401513113791469
"14","Arrowtooth flounder","Average Catch",111400.838690418
"15","Arrowtooth flounder","Catch IAV",443.904785302609
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00293583519512084
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0.016031746031746
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0.232460317460317
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.216428571428571
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.592654811695779
"27","Cod","Average Catch",32194.8059070734
"28","Cod","Catch IAV",9395.42414250302
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00292429620864519
"31","Cod","EM: P(Fy > Flimit)",0.403968253968254
"32","Cod","EM: P(SSB < SSBlimit)",0.064047619047619
"33","Cod","OM: P(Fy > Flimit)",0.766825396825397
"34","Cod","OM: P(SSB < SSBlimit)",0.030952380952381
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0174603174603175
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.38031746031746
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0526190476190476
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0195238095238095
"39","Cod","OM: Terminal SSB Depletion",0.430411845810969
