"","Species","Performance metric","SSM_Ricker_OM__SS_estM_Tier3_EM_ConstantR"
"1","Pollock","Average Catch",278372.144380204
"2","Pollock","Catch IAV",28665.6790339153
"3","Pollock","P(Closed)",7.93650793650794e-05
"4","Pollock","Avg terminal SSB Relative MSE",0.00678424172034971
"5","Pollock","EM: P(Fy > Flimit)",0.0224603174603175
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.30952380952381
"8","Pollock","OM: P(SSB < SSBlimit)",0.0397619047619048
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0242857142857143
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.598412698412698
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0397619047619048
"13","Pollock","OM: Terminal SSB Depletion",1.41854058318327
"14","Arrowtooth flounder","Average Catch",146979.934068459
"15","Arrowtooth flounder","Catch IAV",2027.27884345497
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0113445268237536
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0.208333333333333
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.208333333333333
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.577197884924305
"27","Cod","Average Catch",29354.0668419885
"28","Cod","Catch IAV",4064.31834447337
"29","Cod","P(Closed)",0.0565873015873016
"30","Cod","Avg terminal SSB Relative MSE",0.00502084963419955
"31","Cod","EM: P(Fy > Flimit)",0.000238095238095238
"32","Cod","EM: P(SSB < SSBlimit)",0
"33","Cod","OM: P(Fy > Flimit)",0.0553968253968254
"34","Cod","OM: P(SSB < SSBlimit)",0.107460317460317
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.000476190476190476
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.110793650793651
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.107460317460317
"39","Cod","OM: Terminal SSB Depletion",0.886952899828943
