"","Species","Performance metric","SSM_OM__SS_estM_Tier3_EM_AllDown"
"1","Pollock","Average Catch",105971.353422481
"2","Pollock","Catch IAV",14703.7418346215
"3","Pollock","P(Closed)",0.0237301587301587
"4","Pollock","Avg terminal SSB Relative MSE",0.0071460743513537
"5","Pollock","EM: P(Fy > Flimit)",0.108571428571429
"6","Pollock","EM: P(SSB < SSBlimit)",0.00746031746031746
"7","Pollock","OM: P(Fy > Flimit)",0.487142857142857
"8","Pollock","OM: P(SSB < SSBlimit)",0.0292063492063492
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.0255555555555556
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.404126984126984
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.00111111111111111
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0228571428571429
"13","Pollock","OM: Terminal SSB Depletion",0.371197404621432
"14","Arrowtooth flounder","Average Catch",88546.8564562481
"15","Arrowtooth flounder","Catch IAV",1880.53017090007
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0122274278192718
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.392655308077921
"27","Cod","Average Catch",10095.1869453815
"28","Cod","Catch IAV",2358.99895611112
"29","Cod","P(Closed)",0.114047619047619
"30","Cod","Avg terminal SSB Relative MSE",0.0122535716379043
"31","Cod","EM: P(Fy > Flimit)",0.131349206349206
"32","Cod","EM: P(SSB < SSBlimit)",0.0807936507936508
"33","Cod","OM: P(Fy > Flimit)",0.0242857142857143
"34","Cod","OM: P(SSB < SSBlimit)",0.00238095238095238
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.119047619047619
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.011984126984127
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0796031746031746
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00119047619047619
"39","Cod","OM: Terminal SSB Depletion",0.430640373696437
