"","Species","Performance metric","SSM_OM__SS_estM_Tier1_EM"
"1","Pollock","Average Catch",107747.808150578
"2","Pollock","Catch IAV",0.288884273445035
"3","Pollock","P(Closed)",0.000317460317460317
"4","Pollock","Avg SSB relative bias",-0.805149614073303
"5","Pollock","Avg terminal SSB relative bias",0.107038816638687
"6","Pollock","Avg SSB Relative MSE",0.806754538062882
"7","Pollock","Avg terminal SSB Relative MSE",0.138227815370131
"8","Pollock","EM: P(Fy > Flimit)",0
"9","Pollock","EM: P(SSB < SSBlimit)",0.000396825396825397
"10","Pollock","OM: P(Fy > Flimit)",0
"11","Pollock","OM: P(SSB < SSBlimit)",0.00484126984126984
"12","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"13","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"14","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"15","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.00444444444444444
"16","Pollock","OM: Terminal B",1324018.62039125
"17","Pollock","OM: Terminal SSB",219255.72023481
"18","Pollock","OM: Terminal SSB Depletion",0.467031162013298
"19","Pollock","OM: Terminal SSB Depletion (Dynamic)",0.464049059763624
"20","Pollock","OM: Average SSB Depletion",0.445267115566344
"21","Arrowtooth flounder","Average Catch",95463.3746997546
"22","Arrowtooth flounder","Catch IAV",0.0971882211183671
"23","Arrowtooth flounder","P(Closed)",0
"24","Arrowtooth flounder","Avg SSB relative bias",-0.731734190666166
"25","Arrowtooth flounder","Avg terminal SSB relative bias",0.0766937531354238
"26","Arrowtooth flounder","Avg SSB Relative MSE",0.732583171927329
"27","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.0784108413592486
"28","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"29","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"30","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"31","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"32","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"33","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"34","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"35","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"36","Arrowtooth flounder","OM: Terminal B",1598577.89405223
"37","Arrowtooth flounder","OM: Terminal SSB",394675.810484966
"38","Arrowtooth flounder","OM: Terminal SSB Depletion",0.494888374731258
"39","Arrowtooth flounder","OM: Terminal SSB Depletion (Dynamic)",0.495553641532592
"40","Arrowtooth flounder","OM: Average SSB Depletion",0.494438942433921
"41","Cod","Average Catch",12435.8839902031
"42","Cod","Catch IAV",0.222210037787783
"43","Cod","P(Closed)",0.0770634920634921
"44","Cod","Avg SSB relative bias",-0.405610023197511
"45","Cod","Avg terminal SSB relative bias",-0.0911778188022456
"46","Cod","Avg SSB Relative MSE",0.409363998990086
"47","Cod","Avg terminal SSB Relative MSE",0.0989706679975446
"48","Cod","EM: P(Fy > Flimit)",0
"49","Cod","EM: P(SSB < SSBlimit)",0.0532539682539683
"50","Cod","OM: P(Fy > Flimit)",0
"51","Cod","OM: P(SSB < SSBlimit)",0.0703174603174603
"52","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"53","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"54","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000317460317460317
"55","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0173809523809524
"56","Cod","OM: Terminal B",282011.813708327
"57","Cod","OM: Terminal SSB",185821.910536274
"58","Cod","OM: Terminal SSB Depletion",0.515080620810591
"59","Cod","OM: Terminal SSB Depletion (Dynamic)",0.510608891737335
"60","Cod","OM: Average SSB Depletion",0.468568350302615
