"","Species","Performance metric","SSM_OM__SS_fixM_Fspr_EM_AllUp"
"1","Pollock","Average Catch",208701.445529681
"2","Pollock","Catch IAV",21736.1169906042
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0197665836479396
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.00968253968253968
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.0249206349206349
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.000793650793650794
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.016031746031746
"13","Pollock","OM: Terminal SSB Depletion",0.541395265614621
"14","Arrowtooth flounder","Average Catch",130029.906607106
"15","Arrowtooth flounder","Catch IAV",495.277412577873
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.135690940925817
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.673990686638398
"27","Cod","Average Catch",29465.0332608779
"28","Cod","Catch IAV",8440.54509380642
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.11892955095287
"31","Cod","EM: P(Fy > Flimit)",0.0238888888888889
"32","Cod","EM: P(SSB < SSBlimit)",0.0924603174603175
"33","Cod","OM: P(Fy > Flimit)",0.565873015873016
"34","Cod","OM: P(SSB < SSBlimit)",0.147380952380952
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.541984126984127
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0252380952380952
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0801587301587302
"39","Cod","OM: Terminal SSB Depletion",0.333185363547505
