"","Species","Performance metric","SSM_OM__SS_fixM_Cat1_EM_AllDown"
"1","Pollock","Average Catch",91406.8665942142
"2","Pollock","Catch IAV",6967.55823653634
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.0289994544666226
"5","Pollock","EM: P(Fy > Flimit)",0.000158730158730159
"6","Pollock","EM: P(SSB < SSBlimit)",0
"7","Pollock","OM: P(Fy > Flimit)",0.126190476190476
"8","Pollock","OM: P(SSB < SSBlimit)",0
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.126031746031746
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"13","Pollock","OM: Terminal SSB/SSBtarget",0.386239382625756
"14","Arrowtooth flounder","Average Catch",93056.8566659331
"15","Arrowtooth flounder","Catch IAV",1229.30695806596
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.144518223320292
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB/SSBtarget",0.343204637275287
"27","Cod","Average Catch",15016.7299984951
"28","Cod","Catch IAV",4748.45882217977
"29","Cod","P(Closed)",0.0046031746031746
"30","Cod","Avg terminal SSB Relative MSE",0.146131447149439
"31","Cod","EM: P(Fy > Flimit)",0.247380952380952
"32","Cod","EM: P(SSB < SSBlimit)",0.0152910052910053
"33","Cod","OM: P(Fy > Flimit)",0.984285714285714
"34","Cod","OM: P(SSB < SSBlimit)",0.0527777777777778
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.736904761904762
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0450793650793651
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.157539682539683
"39","Cod","OM: Terminal SSB/SSBtarget",0.181697226732622
