"","Species","Performance metric","SS_OM__SS_fixM_Fspr_EM_AllDown"
"1","Pollock","Average Catch",124716.491452755
"2","Pollock","Catch IAV",13852.8745198432
"3","Pollock","P(Closed)",0
"4","Pollock","Avg terminal SSB Relative MSE",0.00651598789272948
"5","Pollock","EM: P(Fy > Flimit)",0
"6","Pollock","EM: P(SSB < SSBlimit)",0.135396825396825
"7","Pollock","OM: P(Fy > Flimit)",0
"8","Pollock","OM: P(SSB < SSBlimit)",0.124365079365079
"9","Pollock","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"10","Pollock","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"11","Pollock","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0407142857142857
"12","Pollock","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0296825396825397
"13","Pollock","OM: Terminal SSB Depletion",0.343473390096241
"14","Arrowtooth flounder","Average Catch",74000.2287648742
"15","Arrowtooth flounder","Catch IAV",717.147083542442
"16","Arrowtooth flounder","P(Closed)",0
"17","Arrowtooth flounder","Avg terminal SSB Relative MSE",0.00266171759840879
"18","Arrowtooth flounder","EM: P(Fy > Flimit)",0
"19","Arrowtooth flounder","EM: P(SSB < SSBlimit)",0
"20","Arrowtooth flounder","OM: P(Fy > Flimit)",0
"21","Arrowtooth flounder","OM: P(SSB < SSBlimit)",0
"22","Arrowtooth flounder","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0
"23","Arrowtooth flounder","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0
"24","Arrowtooth flounder","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0
"25","Arrowtooth flounder","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0
"26","Arrowtooth flounder","OM: Terminal SSB Depletion",0.396283547835019
"27","Cod","Average Catch",25273.7491650478
"28","Cod","Catch IAV",7790.23389349018
"29","Cod","P(Closed)",0
"30","Cod","Avg terminal SSB Relative MSE",0.00293513650559253
"31","Cod","EM: P(Fy > Flimit)",0.995396825396825
"32","Cod","EM: P(SSB < SSBlimit)",0.107936507936508
"33","Cod","OM: P(Fy > Flimit)",0.996111111111111
"34","Cod","OM: P(SSB < SSBlimit)",0.106507936507937
"35","Cod","EM: P(Fy > Flimit) but OM: P(Fy < Flimit)",0.00238095238095238
"36","Cod","EM: P(Fy < Flimit) but OM: P(Fy > Flimit)",0.0030952380952381
"37","Cod","EM: P(SSB < SSBlimit) but OM: P(SSB > SSBlimit)",0.0250793650793651
"38","Cod","EM: P(SSB > SSBlimit) but OM: P(SSB < SSBlimit)",0.0236507936507937
"39","Cod","OM: Terminal SSB Depletion",0.353507675407672
